"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Shoot system epidermis",4,3,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system vascular system",4,12,0.507353591967678,"Fail","arabidopsis_thaliana","Stem"
"Sieve element",4,8,0.419782189534587,"Fail","arabidopsis_thaliana","Stem"
"Xylem",4,2,1,"Fail","arabidopsis_thaliana","Stem"
"Companion cell",5,4,1,"Fail","arabidopsis_thaliana","Stem"
"G2/M-phase cell",5,0,1,"Fail","arabidopsis_thaliana","Stem"
"Guard cell",5,1,1,"Fail","arabidopsis_thaliana","Stem"
"Leaf guard cell",5,8,0.47482328184714,"Fail","arabidopsis_thaliana","Stem"
"Mesophyll cell",5,1,1,"Fail","arabidopsis_thaliana","Stem"
"Proliferating cell",5,0,1,"Fail","arabidopsis_thaliana","Stem"
"S-phase cell",5,1,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot apical meristem",5,2,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot parenchyma",5,5,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system cortex",5,15,0.00311466769376891,"Reject","arabidopsis_thaliana","Stem"
"Shoot system endodermis",5,4,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system epidermis",5,2,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system vascular system",5,11,0.145339771052214,"Fail","arabidopsis_thaliana","Stem"
"Sieve element",5,2,1,"Fail","arabidopsis_thaliana","Stem"
"Xylem",5,1,1,"Fail","arabidopsis_thaliana","Stem"
"Companion cell",6,6,1,"Fail","arabidopsis_thaliana","Stem"
"G2/M-phase cell",6,4,1,"Fail","arabidopsis_thaliana","Stem"
"Guard cell",6,2,1,"Fail","arabidopsis_thaliana","Stem"
"Leaf guard cell",6,11,0.849847966757625,"Fail","arabidopsis_thaliana","Stem"
"Mesophyll cell",6,2,1,"Fail","arabidopsis_thaliana","Stem"
"Proliferating cell",6,3,1,"Fail","arabidopsis_thaliana","Stem"
"S-phase cell",6,7,0.301678866776572,"Fail","arabidopsis_thaliana","Stem"
"Shoot apical meristem",6,2,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot parenchyma",6,8,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system cortex",6,9,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system endodermis",6,12,0.648662386589,"Fail","arabidopsis_thaliana","Stem"
"Shoot system epidermis",6,7,0.817485125445349,"Fail","arabidopsis_thaliana","Stem"
"Shoot system vascular system",6,8,1,"Fail","arabidopsis_thaliana","Stem"
"Sieve element",6,5,1,"Fail","arabidopsis_thaliana","Stem"
"Xylem",6,17,0.304255462238512,"Fail","arabidopsis_thaliana","Stem"
"Companion cell",7,8,1,"Fail","arabidopsis_thaliana","Stem"
"G2/M-phase cell",7,2,1,"Fail","arabidopsis_thaliana","Stem"
"Guard cell",7,8,0.301678866776572,"Fail","arabidopsis_thaliana","Stem"
"Leaf guard cell",7,14,0.419782189534587,"Fail","arabidopsis_thaliana","Stem"
"Mesophyll cell",7,0,1,"Fail","arabidopsis_thaliana","Stem"
"Proliferating cell",7,2,1,"Fail","arabidopsis_thaliana","Stem"
"S-phase cell",7,1,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot apical meristem",7,8,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot parenchyma",7,7,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system cortex",7,14,0.884599516982131,"Fail","arabidopsis_thaliana","Stem"
"Shoot system endodermis",7,10,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system epidermis",7,9,0.423094996926661,"Fail","arabidopsis_thaliana","Stem"
"Shoot system vascular system",7,18,0.145339771052214,"Fail","arabidopsis_thaliana","Stem"
"Sieve element",7,4,1,"Fail","arabidopsis_thaliana","Stem"
"Xylem",7,8,1,"Fail","arabidopsis_thaliana","Stem"
"Companion cell",8,0,1,"Fail","arabidopsis_thaliana","Stem"
"G2/M-phase cell",8,41,2.85871585959276e-18,"Reject","arabidopsis_thaliana","Stem"
"Guard cell",8,1,1,"Fail","arabidopsis_thaliana","Stem"
"Leaf guard cell",8,0,1,"Fail","arabidopsis_thaliana","Stem"
"Mesophyll cell",8,3,1,"Fail","arabidopsis_thaliana","Stem"
"Proliferating cell",8,57,2.21209238881599e-20,"Reject","arabidopsis_thaliana","Stem"
"S-phase cell",8,5,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot apical meristem",8,34,0.000134831013759995,"Reject","arabidopsis_thaliana","Stem"
"Shoot parenchyma",8,4,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system cortex",8,2,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system endodermis",8,3,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system epidermis",8,0,1,"Fail","arabidopsis_thaliana","Stem"
"Shoot system vascular system",8,1,1,"Fail","arabidopsis_thaliana","Stem"
"Sieve element",8,4,1,"Fail","arabidopsis_thaliana","Stem"
"Xylem",8,18,1,"Fail","arabidopsis_thaliana","Stem"
"Companion cell",9,6,1,"Fail","arabidopsis_thaliana","Stem"
"G2/M-phase cell",9,2,1,"Fail","arabidopsis_thaliana","Stem"
"Guard cell",9,2,1,"Fail","arabidopsis_thaliana","Stem"
"Leaf guard cell",9,9,0.954572794697777,"Fail","arabidopsis_thaliana","Stem"
"Mesophyll cell",9,4,0.636261174530257,"Fail","arabidopsis_thaliana","Stem"
"Proliferating cell",9,3,1,"Fail","arabidopsis_thaliana","Stem"
"S-phase cell",9,0,1,"Fail","arabidopsis_thaliana","Stem"
