"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Xylem",8,2,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",9,0,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",9,3,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",9,6,1,"Fail","sorghum_bicolor","Root"
"Phloem",9,3,1,"Fail","sorghum_bicolor","Root"
"Root cortex",9,9,0.707126238408006,"Fail","sorghum_bicolor","Root"
"Root endodermis",9,12,0.115366363838444,"Fail","sorghum_bicolor","Root"
"Root epidermis",9,2,1,"Fail","sorghum_bicolor","Root"
"Root stele",9,7,1,"Fail","sorghum_bicolor","Root"
"Xylem",9,6,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",10,0,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",10,7,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",10,8,1,"Fail","sorghum_bicolor","Root"
"Phloem",10,5,1,"Fail","sorghum_bicolor","Root"
"Root cortex",10,11,1,"Fail","sorghum_bicolor","Root"
"Root endodermis",10,14,0.670155345818638,"Fail","sorghum_bicolor","Root"
"Root epidermis",10,4,1,"Fail","sorghum_bicolor","Root"
"Root stele",10,5,1,"Fail","sorghum_bicolor","Root"
"Xylem",10,29,7.84205805435267e-07,"Reject","sorghum_bicolor","Root"
"Columella root cap cell",11,0,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",11,13,0.219138607913875,"Fail","sorghum_bicolor","Root"
"Pericycle cell",11,8,1,"Fail","sorghum_bicolor","Root"
"Phloem",11,4,1,"Fail","sorghum_bicolor","Root"
"Root cortex",11,9,1,"Fail","sorghum_bicolor","Root"
"Root endodermis",11,5,1,"Fail","sorghum_bicolor","Root"
"Root epidermis",11,12,0.0251109960562112,"Reject","sorghum_bicolor","Root"
"Root stele",11,10,1,"Fail","sorghum_bicolor","Root"
"Xylem",11,11,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",12,1,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",12,8,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",12,3,1,"Fail","sorghum_bicolor","Root"
"Phloem",12,3,1,"Fail","sorghum_bicolor","Root"
"Root cortex",12,17,0.0751045645828132,"Fail","sorghum_bicolor","Root"
"Root endodermis",12,7,1,"Fail","sorghum_bicolor","Root"
"Root epidermis",12,7,0.791380461513482,"Fail","sorghum_bicolor","Root"
"Root stele",12,16,0.149306838568488,"Fail","sorghum_bicolor","Root"
"Xylem",12,10,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",13,5,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",13,8,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",13,7,1,"Fail","sorghum_bicolor","Root"
"Phloem",13,10,1,"Fail","sorghum_bicolor","Root"
"Root cortex",13,16,0.670155345818638,"Fail","sorghum_bicolor","Root"
"Root endodermis",13,25,0.00126056013580284,"Reject","sorghum_bicolor","Root"
"Root epidermis",13,4,1,"Fail","sorghum_bicolor","Root"
"Root stele",13,9,1,"Fail","sorghum_bicolor","Root"
"Xylem",13,10,1,"Fail","sorghum_bicolor","Root"
"Columella root cap cell",14,1,1,"Fail","sorghum_bicolor","Root"
"Lateral root cap",14,1,1,"Fail","sorghum_bicolor","Root"
"Pericycle cell",14,4,1,"Fail","sorghum_bicolor","Root"
"Phloem",14,8,0.0374347291216002,"Reject","sorghum_bicolor","Root"
"Root cortex",14,2,1,"Fail","sorghum_bicolor","Root"
"Root endodermis",14,2,1,"Fail","sorghum_bicolor","Root"
"Root epidermis",14,1,1,"Fail","sorghum_bicolor","Root"
"Root stele",14,2,1,"Fail","sorghum_bicolor","Root"
"Xylem",14,7,0.406012568444915,"Fail","sorghum_bicolor","Root"
