"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Phloem",8,4,1,"Fail","zea_mays","Inflorescence"
"Xylem",8,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",9,7,0.82302409383971,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",9,9,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",9,0,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",9,3,1,"Fail","zea_mays","Inflorescence"
"Meristem base",9,6,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",9,6,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",9,6,1,"Fail","zea_mays","Inflorescence"
"Phloem",9,5,1,"Fail","zea_mays","Inflorescence"
"Xylem",9,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",10,8,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",10,16,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",10,4,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",10,4,1,"Fail","zea_mays","Inflorescence"
"Meristem base",10,9,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",10,9,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",10,6,1,"Fail","zea_mays","Inflorescence"
"Phloem",10,4,1,"Fail","zea_mays","Inflorescence"
"Xylem",10,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",11,7,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",11,6,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",11,5,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",11,3,1,"Fail","zea_mays","Inflorescence"
"Meristem base",11,8,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",11,9,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",11,7,1,"Fail","zea_mays","Inflorescence"
"Phloem",11,6,1,"Fail","zea_mays","Inflorescence"
"Xylem",11,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",12,2,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",12,10,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",12,2,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",12,7,1,"Fail","zea_mays","Inflorescence"
"Meristem base",12,3,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",12,5,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",12,4,1,"Fail","zea_mays","Inflorescence"
"Phloem",12,5,1,"Fail","zea_mays","Inflorescence"
"Xylem",12,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",13,7,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",13,14,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",13,3,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",13,5,1,"Fail","zea_mays","Inflorescence"
"Meristem base",13,6,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",13,7,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",13,10,1,"Fail","zea_mays","Inflorescence"
"Phloem",13,12,1,"Fail","zea_mays","Inflorescence"
"Xylem",13,0,1,"Fail","zea_mays","Inflorescence"
"Adaxial meristem periphery",14,6,1,"Fail","zea_mays","Inflorescence"
"Bundle sheath cell",14,6,1,"Fail","zea_mays","Inflorescence"
"Determinate lateral organ",14,3,1,"Fail","zea_mays","Inflorescence"
"Ear cortex",14,6,1,"Fail","zea_mays","Inflorescence"
"Meristem base",14,6,1,"Fail","zea_mays","Inflorescence"
"Meristem boundary",14,10,1,"Fail","zea_mays","Inflorescence"
"Meristem epidermis layer",14,6,1,"Fail","zea_mays","Inflorescence"
"Phloem",14,12,0.82302409383971,"Fail","zea_mays","Inflorescence"
"Xylem",14,0,1,"Fail","zea_mays","Inflorescence"
