"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Cortex",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",4,1,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",4,1,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",4,1,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",4,2,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",4,2,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",4,6,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",4,1,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",4,23,5.61087508837584e-05,"Reject","arabidopsis_thaliana","Flower"
"Procambium",4,8,0.416899268613495,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",4,2,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",4,0,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",4,3,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",4,5,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",5,6,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",5,4,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",5,7,0.884625209659428,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",5,6,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",5,2,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",5,5,0.710464788961192,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",5,6,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",5,0,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",5,8,0.679363103864813,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",5,1,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",5,0,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",5,3,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",5,2,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",5,7,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",6,6,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",6,7,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",6,5,0.977603372736044,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",6,2,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",6,11,0.951603002665619,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",6,1,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",6,3,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",6,9,0.643308006765628,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",6,2,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",6,3,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",6,2,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",6,3,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",6,4,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",6,3,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",6,3,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",6,1,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",6,7,0.884625209659428,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",6,12,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",7,12,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",7,2,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",7,5,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",7,4,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",7,12,0.884625209659428,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",7,1,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",7,4,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",7,9,0.710464788961192,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",7,3,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",7,4,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",7,1,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",7,4,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",7,6,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",7,2,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",7,2,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",7,2,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",7,7,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",7,11,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",8,1,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",8,3,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",8,2,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",8,2,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",8,2,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",8,8,0.0975290563330903,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",8,3,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",8,0,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",8,1,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",8,2,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",8,1,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",8,13,0.0288593501774515,"Reject","arabidopsis_thaliana","Flower"
"Phloem",8,1,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",8,0,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",8,42,1.02005100683316e-30,"Reject","arabidopsis_thaliana","Flower"
"Sperm nuclei",8,10,0.0135301391204142,"Reject","arabidopsis_thaliana","Flower"
"Vegetative nuclei",8,3,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",8,2,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",9,8,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",9,3,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",9,2,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",9,5,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",9,9,0.860809198185854,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",9,0,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",9,4,0.884625209659428,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",9,5,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",9,0,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",9,4,1,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",9,1,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",9,1,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",9,4,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",9,1,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",9,3,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",9,0,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",9,4,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",9,6,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",10,8,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",10,6,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",10,2,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",10,5,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",10,7,1,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",10,1,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",10,2,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",10,2,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",10,2,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",10,10,0.416899268613495,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",10,0,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",10,4,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",10,4,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",10,0,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",10,3,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",10,2,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",10,8,0.643308006765628,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",10,14,0.641624183900685,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",11,7,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",11,6,1,"Fail","arabidopsis_thaliana","Flower"
"Early anther",11,4,1,"Fail","arabidopsis_thaliana","Flower"
"Epidermis",11,5,1,"Fail","arabidopsis_thaliana","Flower"
"Floral organ abscission zone",11,15,0.475467588464551,"Fail","arabidopsis_thaliana","Flower"
"Flower meristem",11,2,1,"Fail","arabidopsis_thaliana","Flower"
"Generative nuclei",11,3,1,"Fail","arabidopsis_thaliana","Flower"
"Guard cell",11,8,1,"Fail","arabidopsis_thaliana","Flower"
"Intermediate anther",11,3,1,"Fail","arabidopsis_thaliana","Flower"
"Late anther",11,10,0.710464788961192,"Fail","arabidopsis_thaliana","Flower"
"Mesophyll cell",11,1,1,"Fail","arabidopsis_thaliana","Flower"
"Microspore nuclei",11,4,1,"Fail","arabidopsis_thaliana","Flower"
"Phloem",11,7,1,"Fail","arabidopsis_thaliana","Flower"
"Procambium",11,3,1,"Fail","arabidopsis_thaliana","Flower"
"Proliferating cell",11,1,1,"Fail","arabidopsis_thaliana","Flower"
"Sperm nuclei",11,4,1,"Fail","arabidopsis_thaliana","Flower"
"Vegetative nuclei",11,6,1,"Fail","arabidopsis_thaliana","Flower"
"Xylem parenchyma cell",11,8,1,"Fail","arabidopsis_thaliana","Flower"
"Companion cell",12,6,1,"Fail","arabidopsis_thaliana","Flower"
"Cortex",12,15,0.149820495185335,"Fail","arabidopsis_thaliana","Flower"
"Early anther",12,3,1,"Fail","arabidopsis_thaliana","Flower"
