"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Meristematic cell",5,1,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll",5,6,0.628855036692213,"Fail","fragaria_vesca","Leaf"
"Mesophyll cell",5,2,1,"Fail","fragaria_vesca","Leaf"
"Phloem",5,6,1,"Fail","fragaria_vesca","Leaf"
"Xylem",5,10,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma",5,13,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma cell",5,9,1,"Fail","fragaria_vesca","Leaf"
"Abaxial epidermis",6,10,1,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",6,16,1,"Fail","fragaria_vesca","Leaf"
"Hydathode",6,10,0.481812234749568,"Fail","fragaria_vesca","Leaf"
"Hydathodes",6,18,0.38748060904756,"Fail","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",6,5,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",6,13,0.56900538056449,"Fail","fragaria_vesca","Leaf"
"Meristematic cell",6,10,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll",6,1,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll cell",6,0,1,"Fail","fragaria_vesca","Leaf"
"Phloem",6,4,1,"Fail","fragaria_vesca","Leaf"
"Xylem",6,19,0.909235064459272,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma",6,22,0.848215102635873,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma cell",6,7,1,"Fail","fragaria_vesca","Leaf"
"Abaxial epidermis",7,16,0.834786095674339,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",7,21,0.922502329285506,"Fail","fragaria_vesca","Leaf"
"Hydathode",7,9,0.834786095674339,"Fail","fragaria_vesca","Leaf"
"Hydathodes",7,24,0.0491631380403091,"Reject","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",7,10,0.834786095674339,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",7,14,0.684396776488929,"Fail","fragaria_vesca","Leaf"
"Meristematic cell",7,4,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll",7,3,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll cell",7,0,1,"Fail","fragaria_vesca","Leaf"
"Phloem",7,10,1,"Fail","fragaria_vesca","Leaf"
"Xylem",7,17,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma",7,20,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma cell",7,12,1,"Fail","fragaria_vesca","Leaf"
"Abaxial epidermis",8,0,1,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",8,3,1,"Fail","fragaria_vesca","Leaf"
"Hydathode",8,1,1,"Fail","fragaria_vesca","Leaf"
"Hydathodes",8,0,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",8,1,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",8,1,1,"Fail","fragaria_vesca","Leaf"
"Meristematic cell",8,54,1.10474058018289e-30,"Reject","fragaria_vesca","Leaf"
"Mesophyll",8,9,0.054869734721161,"Fail","fragaria_vesca","Leaf"
"Mesophyll cell",8,22,8.51796499312683e-10,"Reject","fragaria_vesca","Leaf"
"Phloem",8,3,1,"Fail","fragaria_vesca","Leaf"
"Xylem",8,5,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma",8,5,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma cell",8,3,1,"Fail","fragaria_vesca","Leaf"
"Abaxial epidermis",9,9,1,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",9,17,0.481812234749568,"Fail","fragaria_vesca","Leaf"
"Hydathode",9,0,1,"Fail","fragaria_vesca","Leaf"
"Hydathodes",9,6,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",9,4,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",9,6,1,"Fail","fragaria_vesca","Leaf"
"Meristematic cell",9,5,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll",9,1,1,"Fail","fragaria_vesca","Leaf"
"Mesophyll cell",9,2,1,"Fail","fragaria_vesca","Leaf"
"Phloem",9,12,0.628855036692213,"Fail","fragaria_vesca","Leaf"
"Xylem",9,13,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma",9,15,1,"Fail","fragaria_vesca","Leaf"
"Xylem parenchyma cell",9,7,1,"Fail","fragaria_vesca","Leaf"
"Abaxial epidermis",10,9,1,"Fail","fragaria_vesca","Leaf"
"Adaxial epidermis",10,16,1,"Fail","fragaria_vesca","Leaf"
"Hydathode",10,5,1,"Fail","fragaria_vesca","Leaf"
"Hydathodes",10,11,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina abaxial epidermis",10,1,1,"Fail","fragaria_vesca","Leaf"
"Leaf lamina adaxial epidermis",10,4,1,"Fail","fragaria_vesca","Leaf"
