"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Suspensor",8,0,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",8,5,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",9,1,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",9,3,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",9,1,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",9,0,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",9,4,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",9,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",9,1,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",9,7,0.162499655374681,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",10,2,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",10,7,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",10,0,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",10,0,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",10,10,0.942730308027421,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",10,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",10,4,0.84771582099236,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",10,7,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",11,5,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",11,6,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",11,1,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",11,2,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",11,20,0.0271253235838935,"Reject","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",11,2,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",11,3,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",11,5,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",12,3,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",12,4,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",12,2,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",12,1,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",12,17,0.0124236607052189,"Reject","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",12,1,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",12,3,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",12,2,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",13,6,0.719766833073736,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",13,8,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",13,6,0.532591033834828,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",13,2,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",13,8,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",13,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",13,2,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",13,7,1,"Fail","arabidopsis_thaliana","Seed"
"Columella initial cell",14,2,1,"Fail","arabidopsis_thaliana","Seed"
"Dividing protoderm",14,7,1,"Fail","arabidopsis_thaliana","Seed"
"Hypocotyl",14,0,1,"Fail","arabidopsis_thaliana","Seed"
"Plant embryo cotyledon",14,0,1,"Fail","arabidopsis_thaliana","Seed"
"Radicle",14,4,1,"Fail","arabidopsis_thaliana","Seed"
"Shoot meristem initial cell",14,0,1,"Fail","arabidopsis_thaliana","Seed"
"Suspensor",14,2,1,"Fail","arabidopsis_thaliana","Seed"
"Vascular initial cell",14,7,0.455710302734027,"Fail","arabidopsis_thaliana","Seed"
