"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Leaf pavement cell",4,2,1,"Fail","zea_mays","Leaf"
"Leaf primordium",4,0,1,"Fail","zea_mays","Leaf"
"Leaf subsidiary cell",4,6,1,"Fail","zea_mays","Leaf"
"Leaf vascular system",4,10,1,"Fail","zea_mays","Leaf"
"Meristemoid",4,7,1,"Fail","zea_mays","Leaf"
"Mesophyll",4,10,1,"Fail","zea_mays","Leaf"
"Mesophyll cell",4,3,1,"Fail","zea_mays","Leaf"
"Pavement cell-A",4,2,1,"Fail","zea_mays","Leaf"
"Pavement cell-N",4,5,1,"Fail","zea_mays","Leaf"
"S phase",4,3,1,"Fail","zea_mays","Leaf"
"Subsidiary cell",4,5,1,"Fail","zea_mays","Leaf"
"Vascular tissue",4,6,1,"Fail","zea_mays","Leaf"
"Bundle sheath",5,8,1,"Fail","zea_mays","Leaf"
"Bundle sheath cell",5,4,1,"Fail","zea_mays","Leaf"
"Contamination",5,9,1,"Fail","zea_mays","Leaf"
"G2/M phase",5,1,1,"Fail","zea_mays","Leaf"
"Leaf epidermis",5,5,1,"Fail","zea_mays","Leaf"
"Leaf guard cell",5,4,1,"Fail","zea_mays","Leaf"
"Leaf lamina epidermis",5,3,1,"Fail","zea_mays","Leaf"
"Leaf pavement cell",5,4,1,"Fail","zea_mays","Leaf"
"Leaf primordium",5,0,1,"Fail","zea_mays","Leaf"
"Leaf subsidiary cell",5,2,1,"Fail","zea_mays","Leaf"
"Leaf vascular system",5,9,1,"Fail","zea_mays","Leaf"
"Meristemoid",5,10,1,"Fail","zea_mays","Leaf"
"Mesophyll",5,8,1,"Fail","zea_mays","Leaf"
"Mesophyll cell",5,1,1,"Fail","zea_mays","Leaf"
"Pavement cell-A",5,12,0.317859458066344,"Fail","zea_mays","Leaf"
"Pavement cell-N",5,3,1,"Fail","zea_mays","Leaf"
"S phase",5,0,1,"Fail","zea_mays","Leaf"
"Subsidiary cell",5,6,1,"Fail","zea_mays","Leaf"
"Vascular tissue",5,4,1,"Fail","zea_mays","Leaf"
"Bundle sheath",6,7,1,"Fail","zea_mays","Leaf"
"Bundle sheath cell",6,2,1,"Fail","zea_mays","Leaf"
"Contamination",6,17,1,"Fail","zea_mays","Leaf"
"G2/M phase",6,4,1,"Fail","zea_mays","Leaf"
"Leaf epidermis",6,4,1,"Fail","zea_mays","Leaf"
"Leaf guard cell",6,3,1,"Fail","zea_mays","Leaf"
"Leaf lamina epidermis",6,6,1,"Fail","zea_mays","Leaf"
"Leaf pavement cell",6,7,1,"Fail","zea_mays","Leaf"
"Leaf primordium",6,0,1,"Fail","zea_mays","Leaf"
"Leaf subsidiary cell",6,5,1,"Fail","zea_mays","Leaf"
"Leaf vascular system",6,6,1,"Fail","zea_mays","Leaf"
"Meristemoid",6,8,1,"Fail","zea_mays","Leaf"
"Mesophyll",6,7,1,"Fail","zea_mays","Leaf"
"Mesophyll cell",6,3,1,"Fail","zea_mays","Leaf"
"Pavement cell-A",6,13,0.328800831950551,"Fail","zea_mays","Leaf"
"Pavement cell-N",6,4,1,"Fail","zea_mays","Leaf"
"S phase",6,0,1,"Fail","zea_mays","Leaf"
"Subsidiary cell",6,7,1,"Fail","zea_mays","Leaf"
"Vascular tissue",6,4,1,"Fail","zea_mays","Leaf"
"Bundle sheath",7,8,1,"Fail","zea_mays","Leaf"
"Bundle sheath cell",7,6,1,"Fail","zea_mays","Leaf"
"Contamination",7,16,1,"Fail","zea_mays","Leaf"
"G2/M phase",7,1,1,"Fail","zea_mays","Leaf"
"Leaf epidermis",7,6,1,"Fail","zea_mays","Leaf"
"Leaf guard cell",7,4,1,"Fail","zea_mays","Leaf"
"Leaf lamina epidermis",7,8,1,"Fail","zea_mays","Leaf"
"Leaf pavement cell",7,9,1,"Fail","zea_mays","Leaf"
"Leaf primordium",7,0,1,"Fail","zea_mays","Leaf"
"Leaf subsidiary cell",7,7,1,"Fail","zea_mays","Leaf"
"Leaf vascular system",7,17,1,"Fail","zea_mays","Leaf"
"Meristemoid",7,8,1,"Fail","zea_mays","Leaf"
"Mesophyll",7,9,1,"Fail","zea_mays","Leaf"
"Mesophyll cell",7,0,1,"Fail","zea_mays","Leaf"
"Pavement cell-A",7,7,1,"Fail","zea_mays","Leaf"
"Pavement cell-N",7,5,1,"Fail","zea_mays","Leaf"
"S phase",7,0,1,"Fail","zea_mays","Leaf"
"Subsidiary cell",7,9,1,"Fail","zea_mays","Leaf"
