"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Pigment gland",9,9,0.951393952824618,"Fail","gossypium_bickii","Seed"
"Procambium",9,3,1,"Fail","gossypium_bickii","Seed"
"Xylem",9,7,1,"Fail","gossypium_bickii","Seed"
"Companion cell",10,14,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",10,6,1,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",10,3,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",10,6,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",10,3,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",10,7,1,"Fail","gossypium_bickii","Seed"
"Procambium",10,7,0.881330771825926,"Fail","gossypium_bickii","Seed"
"Xylem",10,23,0.00865667484857913,"Reject","gossypium_bickii","Seed"
"Companion cell",11,15,1,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",11,11,1,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",11,9,0.592796039710467,"Fail","gossypium_bickii","Seed"
"Mesophyll",11,13,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",11,7,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",11,15,0.951393952824618,"Fail","gossypium_bickii","Seed"
"Procambium",11,13,0.312791883062734,"Fail","gossypium_bickii","Seed"
"Xylem",11,13,1,"Fail","gossypium_bickii","Seed"
"Companion cell",12,11,1,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",12,18,0.60273065506377,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",12,7,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Mesophyll",12,11,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",12,6,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",12,13,1,"Fail","gossypium_bickii","Seed"
"Procambium",12,4,1,"Fail","gossypium_bickii","Seed"
"Xylem",12,19,0.786242466483653,"Fail","gossypium_bickii","Seed"
"Companion cell",13,18,0.951393952824618,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",13,18,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",13,6,1,"Fail","gossypium_bickii","Seed"
"Mesophyll",13,12,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",13,9,1,"Fail","gossypium_bickii","Seed"
"Pigment gland",13,16,0.951393952824618,"Fail","gossypium_bickii","Seed"
"Procambium",13,9,1,"Fail","gossypium_bickii","Seed"
"Xylem",13,14,1,"Fail","gossypium_bickii","Seed"
"Companion cell",14,11,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Leaf epidermis",14,3,1,"Fail","gossypium_bickii","Seed"
"Leaf guard cell",14,5,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Mesophyll",14,1,1,"Fail","gossypium_bickii","Seed"
"Phloem parenchyma",14,8,0.803763692699272,"Fail","gossypium_bickii","Seed"
"Pigment gland",14,5,1,"Fail","gossypium_bickii","Seed"
"Procambium",14,10,0.123648571341793,"Fail","gossypium_bickii","Seed"
"Xylem",14,12,0.803763692699272,"Fail","gossypium_bickii","Seed"
