"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Young guard cell",1,0,1,"Fail","arabidopsis_thaliana","Leaf"
"Bundle sheath",2,14,0.735440837816166,"Fail","arabidopsis_thaliana","Leaf"
"Bundle sheath cell",2,14,0.735440837816166,"Fail","arabidopsis_thaliana","Leaf"
"Companion cell",2,4,1,"Fail","arabidopsis_thaliana","Leaf"
"G2/M phase",2,7,1,"Fail","arabidopsis_thaliana","Leaf"
"Guard mother cell",2,8,1,"Fail","arabidopsis_thaliana","Leaf"
"Hydathode",2,8,1,"Fail","arabidopsis_thaliana","Leaf"
"Hydathodes",2,9,1,"Fail","arabidopsis_thaliana","Leaf"
"Initials",2,20,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf abaxial pavement cell",2,2,0.847421656911351,"Fail","arabidopsis_thaliana","Leaf"
"Leaf adaxial pavement cell",2,14,0.735440837816166,"Fail","arabidopsis_thaliana","Leaf"
"Leaf epidermis",2,5,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf guard cell",2,10,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf lamina epidermis",2,5,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf pavement cell",2,14,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf preprocambium",2,6,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf vascular system",2,10,1,"Fail","arabidopsis_thaliana","Leaf"
"Meristematic cell",2,11,1,"Fail","arabidopsis_thaliana","Leaf"
"Mesophyll",2,6,1,"Fail","arabidopsis_thaliana","Leaf"
"Mesophyll cell",2,9,0.3637528972273,"Fail","arabidopsis_thaliana","Leaf"
"Myrosinase cell",2,18,0.708995944649412,"Fail","arabidopsis_thaliana","Leaf"
"Palisade mesophyll",2,8,0.0366035257434911,"Reject","arabidopsis_thaliana","Leaf"
"Phloem",2,16,1,"Fail","arabidopsis_thaliana","Leaf"
"Phloem parenchyma",2,7,1,"Fail","arabidopsis_thaliana","Leaf"
"Phloem parenchyma cell",2,9,1,"Fail","arabidopsis_thaliana","Leaf"
"Proliferating cell",2,8,1,"Fail","arabidopsis_thaliana","Leaf"
"S phase",2,2,1,"Fail","arabidopsis_thaliana","Leaf"
"Sieve element",2,4,1,"Fail","arabidopsis_thaliana","Leaf"
"Spongy mesophyll",2,6,1,"Fail","arabidopsis_thaliana","Leaf"
"Spongy mesophyll cell",2,6,1,"Fail","arabidopsis_thaliana","Leaf"
"Stomatal initial cell",2,8,1,"Fail","arabidopsis_thaliana","Leaf"
"Stress response",2,11,1,"Fail","arabidopsis_thaliana","Leaf"
"Tracheary element",2,1,1,"Fail","arabidopsis_thaliana","Leaf"
"Vascular tissue",2,13,1,"Fail","arabidopsis_thaliana","Leaf"
"Xylem",2,19,1,"Fail","arabidopsis_thaliana","Leaf"
"Young guard cell",2,12,1,"Fail","arabidopsis_thaliana","Leaf"
"Bundle sheath",3,7,1,"Fail","arabidopsis_thaliana","Leaf"
"Bundle sheath cell",3,9,1,"Fail","arabidopsis_thaliana","Leaf"
"Companion cell",3,7,1,"Fail","arabidopsis_thaliana","Leaf"
"G2/M phase",3,0,1,"Fail","arabidopsis_thaliana","Leaf"
"Guard mother cell",3,4,1,"Fail","arabidopsis_thaliana","Leaf"
"Hydathode",3,16,0.0420158805742146,"Reject","arabidopsis_thaliana","Leaf"
"Hydathodes",3,16,0.671797498749098,"Fail","arabidopsis_thaliana","Leaf"
"Initials",3,1,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf abaxial pavement cell",3,1,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf adaxial pavement cell",3,5,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf epidermis",3,19,0.0130015210033271,"Reject","arabidopsis_thaliana","Leaf"
"Leaf guard cell",3,5,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf lamina epidermis",3,12,0.735440837816166,"Fail","arabidopsis_thaliana","Leaf"
"Leaf pavement cell",3,7,1,"Fail","arabidopsis_thaliana","Leaf"
"Leaf preprocambium",3,8,0.847421656911351,"Fail","arabidopsis_thaliana","Leaf"
"Leaf vascular system",3,13,0.988488420925282,"Fail","arabidopsis_thaliana","Leaf"
"Meristematic cell",3,1,1,"Fail","arabidopsis_thaliana","Leaf"
"Mesophyll",3,5,1,"Fail","arabidopsis_thaliana","Leaf"
"Mesophyll cell",3,7,0.582324809106138,"Fail","arabidopsis_thaliana","Leaf"
