"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Phloem",7,11,1,"Fail","glycine_max","Root"
"Phloem fiber cell",7,2,1,"Fail","glycine_max","Root"
"Proliferating cell",7,1,1,"Fail","glycine_max","Root"
"Root cap",7,4,1,"Fail","glycine_max","Root"
"Root cortex",7,11,0.81013810440957,"Fail","glycine_max","Root"
"Root endodermis",7,7,1,"Fail","glycine_max","Root"
"Root epidermis",7,14,0.135309465571224,"Fail","glycine_max","Root"
"Root hair cell",7,13,0.501389288867081,"Fail","glycine_max","Root"
"Root nodule",7,6,0.647820719985136,"Fail","glycine_max","Root"
"Root procambium",7,4,1,"Fail","glycine_max","Root"
"Root vascular system",7,6,1,"Fail","glycine_max","Root"
"Xylem",7,6,1,"Fail","glycine_max","Root"
"Pericycle cell",8,1,1,"Fail","glycine_max","Root"
"Phloem",8,1,1,"Fail","glycine_max","Root"
"Phloem fiber cell",8,3,1,"Fail","glycine_max","Root"
"Proliferating cell",8,33,3.62104058688106e-40,"Reject","glycine_max","Root"
"Root cap",8,1,1,"Fail","glycine_max","Root"
"Root cortex",8,0,1,"Fail","glycine_max","Root"
"Root endodermis",8,0,1,"Fail","glycine_max","Root"
"Root epidermis",8,1,1,"Fail","glycine_max","Root"
"Root hair cell",8,3,1,"Fail","glycine_max","Root"
"Root nodule",8,0,1,"Fail","glycine_max","Root"
"Root procambium",8,0,1,"Fail","glycine_max","Root"
"Root vascular system",8,2,1,"Fail","glycine_max","Root"
"Xylem",8,2,1,"Fail","glycine_max","Root"
"Pericycle cell",9,1,1,"Fail","glycine_max","Root"
"Phloem",9,9,1,"Fail","glycine_max","Root"
"Phloem fiber cell",9,3,1,"Fail","glycine_max","Root"
"Proliferating cell",9,0,1,"Fail","glycine_max","Root"
"Root cap",9,5,1,"Fail","glycine_max","Root"
"Root cortex",9,7,1,"Fail","glycine_max","Root"
"Root endodermis",9,13,0.00469496044288025,"Reject","glycine_max","Root"
"Root epidermis",9,2,1,"Fail","glycine_max","Root"
"Root hair cell",9,6,1,"Fail","glycine_max","Root"
"Root nodule",9,0,1,"Fail","glycine_max","Root"
"Root procambium",9,4,1,"Fail","glycine_max","Root"
"Root vascular system",9,1,1,"Fail","glycine_max","Root"
"Xylem",9,4,1,"Fail","glycine_max","Root"
"Pericycle cell",10,3,1,"Fail","glycine_max","Root"
"Phloem",10,8,1,"Fail","glycine_max","Root"
"Phloem fiber cell",10,3,1,"Fail","glycine_max","Root"
"Proliferating cell",10,1,1,"Fail","glycine_max","Root"
"Root cap",10,11,0.88891913705079,"Fail","glycine_max","Root"
"Root cortex",10,2,1,"Fail","glycine_max","Root"
"Root endodermis",10,8,1,"Fail","glycine_max","Root"
"Root epidermis",10,3,1,"Fail","glycine_max","Root"
"Root hair cell",10,9,1,"Fail","glycine_max","Root"
"Root nodule",10,1,1,"Fail","glycine_max","Root"
"Root procambium",10,6,1,"Fail","glycine_max","Root"
"Root vascular system",10,7,1,"Fail","glycine_max","Root"
"Xylem",10,26,1.61984410021938e-06,"Reject","glycine_max","Root"
"Pericycle cell",11,8,1,"Fail","glycine_max","Root"
"Phloem",11,5,1,"Fail","glycine_max","Root"
"Phloem fiber cell",11,4,1,"Fail","glycine_max","Root"
"Proliferating cell",11,2,1,"Fail","glycine_max","Root"
"Root cap",11,8,1,"Fail","glycine_max","Root"
"Root cortex",11,8,1,"Fail","glycine_max","Root"
"Root endodermis",11,6,1,"Fail","glycine_max","Root"
