"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Leaf primordium",12,16,0.0425567785862739,"Reject","zea_mays","Shoot axis apex"
"Leaf rim",12,2,1,"Fail","zea_mays","Shoot axis apex"
"S phase",12,6,1,"Fail","zea_mays","Shoot axis apex"
"Shoot apical meristem",12,12,1,"Fail","zea_mays","Shoot axis apex"
"Shoot system epidermis",12,2,1,"Fail","zea_mays","Shoot axis apex"
"Vascular tissue",12,3,1,"Fail","zea_mays","Shoot axis apex"
"G2/M phase",13,4,1,"Fail","zea_mays","Shoot axis apex"
"Leaf primordium",13,10,1,"Fail","zea_mays","Shoot axis apex"
"Leaf rim",13,5,1,"Fail","zea_mays","Shoot axis apex"
"S phase",13,4,1,"Fail","zea_mays","Shoot axis apex"
"Shoot apical meristem",13,14,1,"Fail","zea_mays","Shoot axis apex"
"Shoot system epidermis",13,8,0.932438310055472,"Fail","zea_mays","Shoot axis apex"
"Vascular tissue",13,13,1,"Fail","zea_mays","Shoot axis apex"
"G2/M phase",14,4,1,"Fail","zea_mays","Shoot axis apex"
"Leaf primordium",14,4,1,"Fail","zea_mays","Shoot axis apex"
"Leaf rim",14,2,1,"Fail","zea_mays","Shoot axis apex"
"S phase",14,2,1,"Fail","zea_mays","Shoot axis apex"
"Shoot apical meristem",14,10,0.932438310055472,"Fail","zea_mays","Shoot axis apex"
"Shoot system epidermis",14,3,1,"Fail","zea_mays","Shoot axis apex"
"Vascular tissue",14,8,1,"Fail","zea_mays","Shoot axis apex"
