"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Metaxylem",3,1,1,"Fail","triticum_aestivum","Root"
"Pericycle",3,2,1,"Fail","triticum_aestivum","Root"
"Pericycle cell",3,5,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle",3,2,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle cell",3,6,1,"Fail","triticum_aestivum","Root"
"Protophloem",3,1,1,"Fail","triticum_aestivum","Root"
"Protoxylem",3,1,1,"Fail","triticum_aestivum","Root"
"Provascular",3,0,1,"Fail","triticum_aestivum","Root"
"Proximal meristem",3,1,1,"Fail","triticum_aestivum","Root"
"Root broder",3,0,1,"Fail","triticum_aestivum","Root"
"Root cap",3,1,1,"Fail","triticum_aestivum","Root"
"Root endodermis",3,0,1,"Fail","triticum_aestivum","Root"
"Root epidermis",3,1,1,"Fail","triticum_aestivum","Root"
"Root epidermis/Root cortex",3,3,1,"Fail","triticum_aestivum","Root"
"Root hair",3,2,1,"Fail","triticum_aestivum","Root"
"Root hair cell",3,2,1,"Fail","triticum_aestivum","Root"
"Root system ground meristem",3,4,1,"Fail","triticum_aestivum","Root"
"Root vascular system",3,4,1,"Fail","triticum_aestivum","Root"
"Sieve element",3,1,1,"Fail","triticum_aestivum","Root"
"Stem cell niche",3,3,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle",3,2,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle cell",3,4,1,"Fail","triticum_aestivum","Root"
"Columella root cap",4,1,1,"Fail","triticum_aestivum","Root"
"Columella root cap cell",4,1,1,"Fail","triticum_aestivum","Root"
"Companion cell",4,7,0.424950446337265,"Fail","triticum_aestivum","Root"
"Meristematic cell",4,2,1,"Fail","triticum_aestivum","Root"
"Metaxylem",4,2,1,"Fail","triticum_aestivum","Root"
"Pericycle",4,1,1,"Fail","triticum_aestivum","Root"
"Pericycle cell",4,1,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle",4,3,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle cell",4,2,1,"Fail","triticum_aestivum","Root"
"Protophloem",4,6,0.113648232299625,"Fail","triticum_aestivum","Root"
"Protoxylem",4,2,1,"Fail","triticum_aestivum","Root"
"Provascular",4,1,1,"Fail","triticum_aestivum","Root"
"Proximal meristem",4,1,1,"Fail","triticum_aestivum","Root"
"Root broder",4,3,1,"Fail","triticum_aestivum","Root"
"Root cap",4,0,1,"Fail","triticum_aestivum","Root"
"Root endodermis",4,3,1,"Fail","triticum_aestivum","Root"
"Root epidermis",4,2,1,"Fail","triticum_aestivum","Root"
"Root epidermis/Root cortex",4,1,1,"Fail","triticum_aestivum","Root"
"Root hair",4,2,1,"Fail","triticum_aestivum","Root"
"Root hair cell",4,1,1,"Fail","triticum_aestivum","Root"
"Root system ground meristem",4,1,1,"Fail","triticum_aestivum","Root"
"Root vascular system",4,5,1,"Fail","triticum_aestivum","Root"
"Sieve element",4,5,0.692645174785555,"Fail","triticum_aestivum","Root"
"Stem cell niche",4,3,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle",4,4,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle cell",4,0,1,"Fail","triticum_aestivum","Root"
"Columella root cap",5,2,1,"Fail","triticum_aestivum","Root"
"Columella root cap cell",5,3,1,"Fail","triticum_aestivum","Root"
"Companion cell",5,3,1,"Fail","triticum_aestivum","Root"
"Meristematic cell",5,0,1,"Fail","triticum_aestivum","Root"
"Metaxylem",5,2,1,"Fail","triticum_aestivum","Root"
"Pericycle",5,3,1,"Fail","triticum_aestivum","Root"
"Pericycle cell",5,4,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle",5,4,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle cell",5,5,1,"Fail","triticum_aestivum","Root"
"Protophloem",5,0,1,"Fail","triticum_aestivum","Root"
"Protoxylem",5,1,1,"Fail","triticum_aestivum","Root"
"Provascular",5,1,1,"Fail","triticum_aestivum","Root"
"Proximal meristem",5,0,1,"Fail","triticum_aestivum","Root"
"Root broder",5,6,0.372789341026636,"Fail","triticum_aestivum","Root"
"Root cap",5,1,1,"Fail","triticum_aestivum","Root"
"Root endodermis",5,1,1,"Fail","triticum_aestivum","Root"
"Root epidermis",5,4,0.532861224040493,"Fail","triticum_aestivum","Root"
"Root epidermis/Root cortex",5,2,1,"Fail","triticum_aestivum","Root"
"Root hair",5,6,1,"Fail","triticum_aestivum","Root"
"Root hair cell",5,0,1,"Fail","triticum_aestivum","Root"
"Root system ground meristem",5,1,1,"Fail","triticum_aestivum","Root"
"Root vascular system",5,2,1,"Fail","triticum_aestivum","Root"
"Sieve element",5,4,1,"Fail","triticum_aestivum","Root"
"Stem cell niche",5,3,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle",5,5,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle cell",5,2,1,"Fail","triticum_aestivum","Root"
"Columella root cap",6,3,1,"Fail","triticum_aestivum","Root"
"Columella root cap cell",6,3,1,"Fail","triticum_aestivum","Root"
"Companion cell",6,2,1,"Fail","triticum_aestivum","Root"
"Meristematic cell",6,0,1,"Fail","triticum_aestivum","Root"
"Metaxylem",6,4,1,"Fail","triticum_aestivum","Root"
"Pericycle",6,3,1,"Fail","triticum_aestivum","Root"
"Pericycle cell",6,6,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle",6,5,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle cell",6,5,1,"Fail","triticum_aestivum","Root"
"Protophloem",6,1,1,"Fail","triticum_aestivum","Root"
"Protoxylem",6,3,1,"Fail","triticum_aestivum","Root"
"Provascular",6,1,1,"Fail","triticum_aestivum","Root"
"Proximal meristem",6,0,1,"Fail","triticum_aestivum","Root"
"Root broder",6,2,1,"Fail","triticum_aestivum","Root"
"Root cap",6,4,1,"Fail","triticum_aestivum","Root"
"Root endodermis",6,3,1,"Fail","triticum_aestivum","Root"
"Root epidermis",6,2,1,"Fail","triticum_aestivum","Root"
"Root epidermis/Root cortex",6,4,1,"Fail","triticum_aestivum","Root"
"Root hair",6,4,1,"Fail","triticum_aestivum","Root"
"Root hair cell",6,4,0.768701281150123,"Fail","triticum_aestivum","Root"
"Root system ground meristem",6,2,1,"Fail","triticum_aestivum","Root"
"Root vascular system",6,3,1,"Fail","triticum_aestivum","Root"
"Sieve element",6,0,1,"Fail","triticum_aestivum","Root"
"Stem cell niche",6,6,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle",6,3,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle cell",6,2,1,"Fail","triticum_aestivum","Root"
"Columella root cap",7,4,1,"Fail","triticum_aestivum","Root"
"Columella root cap cell",7,3,1,"Fail","triticum_aestivum","Root"
"Companion cell",7,2,1,"Fail","triticum_aestivum","Root"
"Meristematic cell",7,0,1,"Fail","triticum_aestivum","Root"
"Metaxylem",7,5,1,"Fail","triticum_aestivum","Root"
"Pericycle",7,0,1,"Fail","triticum_aestivum","Root"
"Pericycle cell",7,4,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle",7,2,1,"Fail","triticum_aestivum","Root"
"Phloem pole pericycle cell",7,10,0.162046948467519,"Fail","triticum_aestivum","Root"
"Protophloem",7,1,1,"Fail","triticum_aestivum","Root"
"Protoxylem",7,3,1,"Fail","triticum_aestivum","Root"
"Provascular",7,2,1,"Fail","triticum_aestivum","Root"
"Proximal meristem",7,0,1,"Fail","triticum_aestivum","Root"
"Root broder",7,1,1,"Fail","triticum_aestivum","Root"
"Root cap",7,1,1,"Fail","triticum_aestivum","Root"
"Root endodermis",7,3,1,"Fail","triticum_aestivum","Root"
"Root epidermis",7,2,1,"Fail","triticum_aestivum","Root"
"Root epidermis/Root cortex",7,2,1,"Fail","triticum_aestivum","Root"
"Root hair",7,5,1,"Fail","triticum_aestivum","Root"
"Root hair cell",7,2,1,"Fail","triticum_aestivum","Root"
"Root system ground meristem",7,2,1,"Fail","triticum_aestivum","Root"
"Root vascular system",7,1,1,"Fail","triticum_aestivum","Root"
"Sieve element",7,3,1,"Fail","triticum_aestivum","Root"
"Stem cell niche",7,2,1,"Fail","triticum_aestivum","Root"
"Xylem pole pericycle",7,0,1,"Fail","triticum_aestivum","Root"
