"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Mesophyll cell",12,6,0.744184673324979,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",12,4,1,"Fail","gossypium_bickii","Leaf"
"Xylem",12,15,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",13,10,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",13,13,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",13,11,1,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",13,5,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",13,4,1,"Fail","gossypium_bickii","Leaf"
"Xylem",13,11,1,"Fail","gossypium_bickii","Leaf"
"Companion cell",14,6,1,"Fail","gossypium_bickii","Leaf"
"Leaf guard cell",14,5,1,"Fail","gossypium_bickii","Leaf"
"Leaf lamina epidermis",14,2,1,"Fail","gossypium_bickii","Leaf"
"Mesophyll cell",14,0,1,"Fail","gossypium_bickii","Leaf"
"Phloem parenchyma cell",14,7,0.659324131859529,"Fail","gossypium_bickii","Leaf"
"Xylem",14,10,1,"Fail","gossypium_bickii","Leaf"
