"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Meristem base",6,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",6,5,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",6,5,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",6,8,1,"Fail","zea_mays","Ear inflorescence"
"Pith",6,4,1,"Fail","zea_mays","Ear inflorescence"
"S phase",6,1,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",6,8,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",7,12,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",7,9,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",7,16,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",7,4,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",7,3,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",7,6,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",7,8,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",7,11,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",7,7,1,"Fail","zea_mays","Ear inflorescence"
"Pith",7,5,1,"Fail","zea_mays","Ear inflorescence"
"S phase",7,0,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",7,13,0.857140631355494,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",8,3,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",8,2,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",8,6,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",8,12,0.577385052141878,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",8,43,6.57724583238309e-28,"Reject","zea_mays","Ear inflorescence"
"Meristem base",8,0,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",8,0,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",8,4,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",8,3,1,"Fail","zea_mays","Ear inflorescence"
"Pith",8,1,1,"Fail","zea_mays","Ear inflorescence"
"S phase",8,3,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",8,0,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",9,9,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",9,6,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",9,15,0.918633596111387,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",9,7,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",9,3,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",9,1,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",9,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",9,12,0.222726804135644,"Fail","zea_mays","Ear inflorescence"
"Phloem",9,7,1,"Fail","zea_mays","Ear inflorescence"
"Pith",9,0,1,"Fail","zea_mays","Ear inflorescence"
"S phase",9,0,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",9,6,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",10,11,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",10,8,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",10,14,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",10,4,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",10,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",10,5,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",10,8,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",10,4,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",10,8,1,"Fail","zea_mays","Ear inflorescence"
"Pith",10,2,1,"Fail","zea_mays","Ear inflorescence"
"S phase",10,1,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",10,13,0.489594921406154,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",11,10,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",11,5,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",11,20,0.84523085673714,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",11,7,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",11,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",11,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",11,6,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",11,16,0.10227515845992,"Fail","zea_mays","Ear inflorescence"
"Phloem",11,7,1,"Fail","zea_mays","Ear inflorescence"
"Pith",11,7,0.857140631355494,"Fail","zea_mays","Ear inflorescence"
"S phase",11,3,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",11,6,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",12,4,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",12,7,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",12,15,0.630978556334029,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",12,8,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",12,5,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",12,1,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",12,1,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",12,5,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",12,8,1,"Fail","zea_mays","Ear inflorescence"
"Pith",12,3,1,"Fail","zea_mays","Ear inflorescence"
"S phase",12,1,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",12,6,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",13,10,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",13,11,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",13,16,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",13,9,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",13,6,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",13,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",13,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",13,10,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",13,12,1,"Fail","zea_mays","Ear inflorescence"
"Pith",13,2,1,"Fail","zea_mays","Ear inflorescence"
"S phase",13,0,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",13,8,1,"Fail","zea_mays","Ear inflorescence"
"Adaxial meristem periphery",14,6,1,"Fail","zea_mays","Ear inflorescence"
"Bundle sheath",14,7,1,"Fail","zea_mays","Ear inflorescence"
"Cortex",14,10,1,"Fail","zea_mays","Ear inflorescence"
"Determinate lateral organ",14,2,1,"Fail","zea_mays","Ear inflorescence"
"G2/M phase",14,5,1,"Fail","zea_mays","Ear inflorescence"
"Meristem base",14,4,1,"Fail","zea_mays","Ear inflorescence"
"Meristem boundary",14,8,0.857140631355494,"Fail","zea_mays","Ear inflorescence"
"Meristem epidermis",14,4,1,"Fail","zea_mays","Ear inflorescence"
"Phloem",14,15,0.0907936270714996,"Fail","zea_mays","Ear inflorescence"
"Pith",14,3,1,"Fail","zea_mays","Ear inflorescence"
"S phase",14,0,1,"Fail","zea_mays","Ear inflorescence"
"Xylem",14,6,1,"Fail","zea_mays","Ear inflorescence"
