"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Root hair",4,3,1,"Fail","medicago_truncatula","Root"
"Root hair cell",4,1,1,"Fail","medicago_truncatula","Root"
"Root nodule",4,2,1,"Fail","medicago_truncatula","Root"
"Root stele",4,9,0.492281401801608,"Fail","medicago_truncatula","Root"
"Root vascular system",4,4,1,"Fail","medicago_truncatula","Root"
"Stem cell niche",4,3,1,"Fail","medicago_truncatula","Root"
"Xylem",4,3,1,"Fail","medicago_truncatula","Root"
"Cortex",5,5,1,"Fail","medicago_truncatula","Root"
"Nodule apex",5,17,0.0206429816251793,"Reject","medicago_truncatula","Root"
"Nodule parenchyma",5,4,1,"Fail","medicago_truncatula","Root"
"Non-hair",5,10,0.241536184710232,"Fail","medicago_truncatula","Root"
"Pericycle",5,6,1,"Fail","medicago_truncatula","Root"
"Phloem",5,6,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",5,5,1,"Fail","medicago_truncatula","Root"
"Root cap",5,5,1,"Fail","medicago_truncatula","Root"
"Root cortex",5,8,1,"Fail","medicago_truncatula","Root"
"Root endodermis",5,4,1,"Fail","medicago_truncatula","Root"
"Root epidermis",5,2,1,"Fail","medicago_truncatula","Root"
"Root hair",5,8,1,"Fail","medicago_truncatula","Root"
"Root hair cell",5,5,1,"Fail","medicago_truncatula","Root"
"Root nodule",5,1,1,"Fail","medicago_truncatula","Root"
"Root stele",5,5,1,"Fail","medicago_truncatula","Root"
"Root vascular system",5,4,1,"Fail","medicago_truncatula","Root"
"Stem cell niche",5,3,1,"Fail","medicago_truncatula","Root"
"Xylem",5,4,1,"Fail","medicago_truncatula","Root"
"Cortex",6,7,1,"Fail","medicago_truncatula","Root"
"Nodule apex",6,14,1,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",6,7,1,"Fail","medicago_truncatula","Root"
"Non-hair",6,4,1,"Fail","medicago_truncatula","Root"
"Pericycle",6,8,1,"Fail","medicago_truncatula","Root"
"Phloem",6,3,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",6,9,1,"Fail","medicago_truncatula","Root"
"Root cap",6,8,1,"Fail","medicago_truncatula","Root"
"Root cortex",6,17,0.731699329404997,"Fail","medicago_truncatula","Root"
"Root endodermis",6,6,1,"Fail","medicago_truncatula","Root"
"Root epidermis",6,4,1,"Fail","medicago_truncatula","Root"
"Root hair",6,22,0.0204390372796171,"Reject","medicago_truncatula","Root"
"Root hair cell",6,11,0.407364007966049,"Fail","medicago_truncatula","Root"
"Root nodule",6,1,1,"Fail","medicago_truncatula","Root"
"Root stele",6,4,1,"Fail","medicago_truncatula","Root"
"Root vascular system",6,3,1,"Fail","medicago_truncatula","Root"
"Stem cell niche",6,17,0.350007054365205,"Fail","medicago_truncatula","Root"
"Xylem",6,16,0.56797237753783,"Fail","medicago_truncatula","Root"
"Cortex",7,10,1,"Fail","medicago_truncatula","Root"
"Nodule apex",7,22,0.56797237753783,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",7,9,1,"Fail","medicago_truncatula","Root"
"Non-hair",7,20,0.0428272326854395,"Reject","medicago_truncatula","Root"
"Pericycle",7,11,1,"Fail","medicago_truncatula","Root"
"Phloem",7,12,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",7,6,1,"Fail","medicago_truncatula","Root"
"Root cap",7,27,0.0144527641109976,"Reject","medicago_truncatula","Root"
"Root cortex",7,15,1,"Fail","medicago_truncatula","Root"
"Root endodermis",7,6,1,"Fail","medicago_truncatula","Root"
"Root epidermis",7,12,0.742845619214792,"Fail","medicago_truncatula","Root"
"Root hair",7,18,1,"Fail","medicago_truncatula","Root"
"Root hair cell",7,12,0.755342569741764,"Fail","medicago_truncatula","Root"
"Root nodule",7,2,1,"Fail","medicago_truncatula","Root"
"Root stele",7,8,1,"Fail","medicago_truncatula","Root"
"Root vascular system",7,15,0.492281401801608,"Fail","medicago_truncatula","Root"
"Stem cell niche",7,9,1,"Fail","medicago_truncatula","Root"
"Xylem",7,9,1,"Fail","medicago_truncatula","Root"
"Cortex",8,0,1,"Fail","medicago_truncatula","Root"
"Nodule apex",8,0,1,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",8,2,1,"Fail","medicago_truncatula","Root"
"Non-hair",8,1,1,"Fail","medicago_truncatula","Root"
"Pericycle",8,1,1,"Fail","medicago_truncatula","Root"
"Phloem",8,3,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",8,27,8.97180737348545e-10,"Reject","medicago_truncatula","Root"
"Root cap",8,2,1,"Fail","medicago_truncatula","Root"
"Root cortex",8,3,1,"Fail","medicago_truncatula","Root"
"Root endodermis",8,0,1,"Fail","medicago_truncatula","Root"
"Root epidermis",8,1,1,"Fail","medicago_truncatula","Root"
"Root hair",8,4,1,"Fail","medicago_truncatula","Root"
"Root hair cell",8,3,1,"Fail","medicago_truncatula","Root"
"Root nodule",8,9,0.000341064508267002,"Reject","medicago_truncatula","Root"
"Root stele",8,2,1,"Fail","medicago_truncatula","Root"
"Root vascular system",8,4,1,"Fail","medicago_truncatula","Root"
"Stem cell niche",8,16,0.00151139017671559,"Reject","medicago_truncatula","Root"
"Xylem",8,4,1,"Fail","medicago_truncatula","Root"
"Cortex",9,3,1,"Fail","medicago_truncatula","Root"
"Nodule apex",9,10,0.56797237753783,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",9,4,1,"Fail","medicago_truncatula","Root"
"Non-hair",9,4,1,"Fail","medicago_truncatula","Root"
"Pericycle",9,5,1,"Fail","medicago_truncatula","Root"
"Phloem",9,9,0.492281401801608,"Fail","medicago_truncatula","Root"
"Root apical meristem",9,2,1,"Fail","medicago_truncatula","Root"
"Root cap",9,6,1,"Fail","medicago_truncatula","Root"
"Root cortex",9,7,1,"Fail","medicago_truncatula","Root"
"Root endodermis",9,4,1,"Fail","medicago_truncatula","Root"
"Root epidermis",9,4,1,"Fail","medicago_truncatula","Root"
"Root hair",9,5,1,"Fail","medicago_truncatula","Root"
"Root hair cell",9,3,1,"Fail","medicago_truncatula","Root"
"Root nodule",9,0,1,"Fail","medicago_truncatula","Root"
"Root stele",9,2,1,"Fail","medicago_truncatula","Root"
"Root vascular system",9,6,0.815350435665631,"Fail","medicago_truncatula","Root"
"Stem cell niche",9,4,1,"Fail","medicago_truncatula","Root"
"Xylem",9,6,1,"Fail","medicago_truncatula","Root"
"Cortex",10,6,1,"Fail","medicago_truncatula","Root"
"Nodule apex",10,13,1,"Fail","medicago_truncatula","Root"
"Nodule parenchyma",10,7,1,"Fail","medicago_truncatula","Root"
"Non-hair",10,10,1,"Fail","medicago_truncatula","Root"
"Pericycle",10,15,1,"Fail","medicago_truncatula","Root"
"Phloem",10,11,1,"Fail","medicago_truncatula","Root"
"Root apical meristem",10,5,1,"Fail","medicago_truncatula","Root"
"Root cap",10,6,1,"Fail","medicago_truncatula","Root"
"Root cortex",10,8,1,"Fail","medicago_truncatula","Root"
"Root endodermis",10,9,1,"Fail","medicago_truncatula","Root"
"Root epidermis",10,4,1,"Fail","medicago_truncatula","Root"
"Root hair",10,14,1,"Fail","medicago_truncatula","Root"
"Root hair cell",10,6,1,"Fail","medicago_truncatula","Root"
"Root nodule",10,2,1,"Fail","medicago_truncatula","Root"
"Root stele",10,6,1,"Fail","medicago_truncatula","Root"
"Root vascular system",10,7,1,"Fail","medicago_truncatula","Root"
"Stem cell niche",10,15,1,"Fail","medicago_truncatula","Root"
"Xylem",10,41,1.12443170166855e-10,"Reject","medicago_truncatula","Root"
"Cortex",11,7,1,"Fail","medicago_truncatula","Root"
