"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Root hair cell",3,3,1,"Fail","oryza_sativa","Root"
"Root meristem",3,0,1,"Fail","oryza_sativa","Root"
"Root procambium",3,13,0.000486755430803525,"Reject","oryza_sativa","Root"
"Root stele",3,7,0.388457179367996,"Fail","oryza_sativa","Root"
"Sclerenchyma",3,5,1,"Fail","oryza_sativa","Root"
"Xylem",3,4,1,"Fail","oryza_sativa","Root"
"Epidermal meristematic cell",4,5,1,"Fail","oryza_sativa","Root"
"Exodermis",4,6,1,"Fail","oryza_sativa","Root"
"Meristematic cell",4,2,1,"Fail","oryza_sativa","Root"
"Metaxylem",4,7,0.402084779742018,"Fail","oryza_sativa","Root"
"Non-hair root epidermal cell",4,5,1,"Fail","oryza_sativa","Root"
"Pericycle",4,12,0.123971721508642,"Fail","oryza_sativa","Root"
"Pericycle cell",4,11,0.136098860896184,"Fail","oryza_sativa","Root"
"Phloem",4,21,3.41083310562363e-09,"Reject","oryza_sativa","Root"
"Protoxylem",4,1,1,"Fail","oryza_sativa","Root"
"Root cap",4,7,0.950522119909522,"Fail","oryza_sativa","Root"
"Root cap junction",4,7,0.7957667490635,"Fail","oryza_sativa","Root"
"Root cortex",4,1,1,"Fail","oryza_sativa","Root"
"Root endodermis",4,0,1,"Fail","oryza_sativa","Root"
"Root epidermis",4,2,1,"Fail","oryza_sativa","Root"
"Root exodermis",4,2,1,"Fail","oryza_sativa","Root"
"Root hair",4,7,0.925915584217082,"Fail","oryza_sativa","Root"
"Root hair cell",4,6,0.736794008822112,"Fail","oryza_sativa","Root"
"Root meristem",4,2,1,"Fail","oryza_sativa","Root"
"Root procambium",4,2,1,"Fail","oryza_sativa","Root"
"Root stele",4,3,1,"Fail","oryza_sativa","Root"
"Sclerenchyma",4,4,1,"Fail","oryza_sativa","Root"
"Xylem",4,3,1,"Fail","oryza_sativa","Root"
"Epidermal meristematic cell",5,9,0.313658244275419,"Fail","oryza_sativa","Root"
"Exodermis",5,12,0.211574647103297,"Fail","oryza_sativa","Root"
"Meristematic cell",5,0,1,"Fail","oryza_sativa","Root"
"Metaxylem",5,2,1,"Fail","oryza_sativa","Root"
"Non-hair root epidermal cell",5,8,0.37260127842994,"Fail","oryza_sativa","Root"
"Pericycle",5,4,1,"Fail","oryza_sativa","Root"
"Pericycle cell",5,4,1,"Fail","oryza_sativa","Root"
"Phloem",5,3,1,"Fail","oryza_sativa","Root"
"Protoxylem",5,9,0.506417728935474,"Fail","oryza_sativa","Root"
"Root cap",5,3,1,"Fail","oryza_sativa","Root"
"Root cap junction",5,5,1,"Fail","oryza_sativa","Root"
"Root cortex",5,0,1,"Fail","oryza_sativa","Root"
"Root endodermis",5,0,1,"Fail","oryza_sativa","Root"
"Root epidermis",5,6,1,"Fail","oryza_sativa","Root"
"Root exodermis",5,8,0.703669658983755,"Fail","oryza_sativa","Root"
"Root hair",5,7,0.707454772649662,"Fail","oryza_sativa","Root"
"Root hair cell",5,5,0.790599859737098,"Fail","oryza_sativa","Root"
"Root meristem",5,0,1,"Fail","oryza_sativa","Root"
"Root procambium",5,3,0.915946004221298,"Fail","oryza_sativa","Root"
"Root stele",5,1,1,"Fail","oryza_sativa","Root"
"Sclerenchyma",5,2,1,"Fail","oryza_sativa","Root"
"Xylem",5,5,1,"Fail","oryza_sativa","Root"
"Epidermal meristematic cell",6,18,0.388457179367996,"Fail","oryza_sativa","Root"
"Exodermis",6,26,0.165393589222716,"Fail","oryza_sativa","Root"
"Meristematic cell",6,2,1,"Fail","oryza_sativa","Root"
"Metaxylem",6,9,1,"Fail","oryza_sativa","Root"
"Non-hair root epidermal cell",6,18,0.274629806830683,"Fail","oryza_sativa","Root"
"Pericycle",6,6,1,"Fail","oryza_sativa","Root"
"Pericycle cell",6,4,1,"Fail","oryza_sativa","Root"
"Phloem",6,3,1,"Fail","oryza_sativa","Root"
"Protoxylem",6,22,0.306544546560008,"Fail","oryza_sativa","Root"
"Root cap",6,9,1,"Fail","oryza_sativa","Root"
"Root cap junction",6,6,1,"Fail","oryza_sativa","Root"
"Root cortex",6,6,1,"Fail","oryza_sativa","Root"
"Root endodermis",6,0,1,"Fail","oryza_sativa","Root"
"Root epidermis",6,24,0.0536036110547952,"Fail","oryza_sativa","Root"
"Root exodermis",6,21,0.352236523218725,"Fail","oryza_sativa","Root"
"Root hair",6,20,0.19706139977839,"Fail","oryza_sativa","Root"
"Root hair cell",6,14,0.322459736033824,"Fail","oryza_sativa","Root"
"Root meristem",6,0,1,"Fail","oryza_sativa","Root"
"Root procambium",6,5,1,"Fail","oryza_sativa","Root"
"Root stele",6,4,1,"Fail","oryza_sativa","Root"
"Sclerenchyma",6,22,0.0729988575804701,"Fail","oryza_sativa","Root"
"Xylem",6,18,0.674575607314428,"Fail","oryza_sativa","Root"
"Epidermal meristematic cell",7,9,1,"Fail","oryza_sativa","Root"
"Exodermis",7,17,0.769685148026466,"Fail","oryza_sativa","Root"
"Meristematic cell",7,0,1,"Fail","oryza_sativa","Root"
"Metaxylem",7,5,1,"Fail","oryza_sativa","Root"
"Non-hair root epidermal cell",7,18,0.0525033797832492,"Fail","oryza_sativa","Root"
"Pericycle",7,7,1,"Fail","oryza_sativa","Root"
"Pericycle cell",7,7,1,"Fail","oryza_sativa","Root"
"Phloem",7,7,1,"Fail","oryza_sativa","Root"
"Protoxylem",7,15,0.7957667490635,"Fail","oryza_sativa","Root"
"Root cap",7,13,0.792771116384811,"Fail","oryza_sativa","Root"
"Root cap junction",7,10,1,"Fail","oryza_sativa","Root"
"Root cortex",7,4,1,"Fail","oryza_sativa","Root"
"Root endodermis",7,0,1,"Fail","oryza_sativa","Root"
"Root epidermis",7,16,0.41928397682017,"Fail","oryza_sativa","Root"
"Root exodermis",7,20,0.134646680243788,"Fail","oryza_sativa","Root"
"Root hair",7,12,0.889420247938604,"Fail","oryza_sativa","Root"
"Root hair cell",7,9,0.850196564678313,"Fail","oryza_sativa","Root"
"Root meristem",7,0,1,"Fail","oryza_sativa","Root"
"Root procambium",7,8,0.378294745875025,"Fail","oryza_sativa","Root"
"Root stele",7,12,0.0208153639806236,"Reject","oryza_sativa","Root"
"Sclerenchyma",7,7,1,"Fail","oryza_sativa","Root"
"Xylem",7,12,1,"Fail","oryza_sativa","Root"
