"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Epidermis",5,30,1.74155682373542e-08,"Reject","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",5,9,0.415894256674962,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",5,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",5,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",5,0,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",5,10,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",5,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",6,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",6,21,0.650043154886165,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",6,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",6,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",6,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",6,11,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",6,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",6,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",6,22,0.248961304355352,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",6,11,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",6,27,0.0763086532226271,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",6,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",7,12,0.649113996741146,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",7,22,0.415894256674962,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",7,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",7,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",7,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",7,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",7,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",7,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",7,13,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",7,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",7,19,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",7,21,0.0022903919940559,"Reject","populus_alba_var_pyramidalis","Stem"
"Companion cell",8,0,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",8,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",8,1,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",8,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",8,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",8,2,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",8,2,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",8,0,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",8,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",8,49,7.70694235309986e-31,"Reject","populus_alba_var_pyramidalis","Stem"
"Xylem",8,2,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",8,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",9,3,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",9,24,0.00914309632330335,"Reject","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",9,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",9,6,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Endodermis",9,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Epidermis",9,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Phloem parenchyma",9,4,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Photosynthetic cell",9,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Sieve element",9,13,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Vascular cambium",9,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem",9,13,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Xylem parenchyma",9,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Companion cell",10,5,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cork cambium",10,41,0.000861263872957869,"Reject","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis",10,7,1,"Fail","populus_alba_var_pyramidalis","Stem"
"Cortex/Endodermis initial",10,8,1,"Fail","populus_alba_var_pyramidalis","Stem"
