"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Vascular tissue",6,3,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",7,1,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",7,5,1,"Fail","oryza_sativa","Pistil"
"Integument",7,0,1,"Fail","oryza_sativa","Pistil"
"Nucellus",7,1,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",7,8,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",7,2,1,"Fail","oryza_sativa","Pistil"
"Ovule",7,0,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",7,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",7,0,1,"Fail","oryza_sativa","Pistil"
"Stigma",7,3,1,"Fail","oryza_sativa","Pistil"
"Style",7,4,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",7,6,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",8,2,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",8,2,1,"Fail","oryza_sativa","Pistil"
"Integument",8,2,1,"Fail","oryza_sativa","Pistil"
"Nucellus",8,0,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",8,3,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",8,0,1,"Fail","oryza_sativa","Pistil"
"Ovule",8,1,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",8,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",8,0,1,"Fail","oryza_sativa","Pistil"
"Stigma",8,0,1,"Fail","oryza_sativa","Pistil"
"Style",8,1,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",8,2,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",9,0,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",9,6,1,"Fail","oryza_sativa","Pistil"
"Integument",9,1,1,"Fail","oryza_sativa","Pistil"
"Nucellus",9,1,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",9,6,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",9,3,1,"Fail","oryza_sativa","Pistil"
"Ovule",9,0,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",9,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",9,0,1,"Fail","oryza_sativa","Pistil"
"Stigma",9,1,1,"Fail","oryza_sativa","Pistil"
"Style",9,2,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",9,2,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",10,1,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",10,2,1,"Fail","oryza_sativa","Pistil"
"Integument",10,3,1,"Fail","oryza_sativa","Pistil"
"Nucellus",10,2,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",10,5,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",10,3,1,"Fail","oryza_sativa","Pistil"
"Ovule",10,1,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",10,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",10,1,1,"Fail","oryza_sativa","Pistil"
"Stigma",10,0,1,"Fail","oryza_sativa","Pistil"
"Style",10,1,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",10,4,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",11,5,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",11,7,1,"Fail","oryza_sativa","Pistil"
"Integument",11,1,1,"Fail","oryza_sativa","Pistil"
"Nucellus",11,3,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",11,5,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",11,4,1,"Fail","oryza_sativa","Pistil"
"Ovule",11,2,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",11,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",11,2,1,"Fail","oryza_sativa","Pistil"
"Stigma",11,4,1,"Fail","oryza_sativa","Pistil"
"Style",11,4,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",11,2,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",12,2,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",12,2,1,"Fail","oryza_sativa","Pistil"
"Integument",12,2,1,"Fail","oryza_sativa","Pistil"
"Nucellus",12,0,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",12,4,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",12,2,1,"Fail","oryza_sativa","Pistil"
"Ovule",12,0,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",12,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",12,1,1,"Fail","oryza_sativa","Pistil"
"Stigma",12,1,1,"Fail","oryza_sativa","Pistil"
"Style",12,2,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",12,1,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",13,1,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",13,3,1,"Fail","oryza_sativa","Pistil"
"Integument",13,0,1,"Fail","oryza_sativa","Pistil"
"Nucellus",13,0,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",13,5,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",13,3,1,"Fail","oryza_sativa","Pistil"
"Ovule",13,0,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",13,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",13,0,1,"Fail","oryza_sativa","Pistil"
"Stigma",13,0,1,"Fail","oryza_sativa","Pistil"
"Style",13,4,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",13,6,1,"Fail","oryza_sativa","Pistil"
"CT-Ovule",14,2,1,"Fail","oryza_sativa","Pistil"
"Inner ovary wall/Outer integument",14,1,1,"Fail","oryza_sativa","Pistil"
"Integument",14,3,1,"Fail","oryza_sativa","Pistil"
"Nucellus",14,2,1,"Fail","oryza_sativa","Pistil"
"Outer ovary wall",14,0,1,"Fail","oryza_sativa","Pistil"
"Ovary wall",14,2,1,"Fail","oryza_sativa","Pistil"
"Ovule",14,0,1,"Fail","oryza_sativa","Pistil"
"S-Ovule",14,0,1,"Fail","oryza_sativa","Pistil"
"Stamen residue",14,2,1,"Fail","oryza_sativa","Pistil"
"Stigma",14,2,1,"Fail","oryza_sativa","Pistil"
"Style",14,2,1,"Fail","oryza_sativa","Pistil"
"Vascular tissue",14,5,1,"Fail","oryza_sativa","Pistil"
