"reference_cell_types","query_clusters","number_OMGs","p_value","negative_log10_p_value","significant"
"gossypium_bickii Seed Procambium",11,13,0.0470301276848666,1.32762384216062,"Yes"
"gossypium_bickii Seed Xylem",11,13,0.960843068520212,0.0173475384928845,"No"
"gossypium_hirsutum Flower Anther wall endothecium",11,7,0.875211750882765,0.0578868599899833,"No"
"gossypium_hirsutum Flower Anther wall middle layer",11,8,0.592171997626415,0.227552133190999,"No"
"gossypium_hirsutum Flower Anther wall tapetum",11,7,0.0877982863199905,1.05651396073439,"No"
"gossypium_hirsutum Flower Connective",11,7,0.167546045773711,0.775865817419413,"No"
"gossypium_hirsutum Flower Developing male gametophytes",11,2,1,0,"No"
"gossypium_hirsutum Flower Flower vascular system",11,12,0.0517437620374452,1.28614199903061,"No"
"gossypium_hirsutum Flower Microspore nuclei",11,0,1,0,"No"
"gossypium_hirsutum Flower Outer pigment layer",11,6,1,0,"No"
"gossypium_hirsutum Flower Ovule fiber cell",11,2,1,0,"No"
"gossypium_hirsutum Leaf Guard cell",11,10,0.541506787571184,0.266396095296766,"No"
"gossypium_hirsutum Leaf Leaf lamina epidermis",11,5,1,0,"No"
"gossypium_hirsutum Leaf Leaf vascular system",11,9,0.946680397061307,0.0237966157380647,"No"
"gossypium_hirsutum Leaf Mesophyll cell",11,4,1,0,"No"
"gossypium_hirsutum Leaf Proliferating cell",11,3,1,0,"No"
"manihot_esculenta Leaf Bundle sheath cell",11,12,0.295428160428287,0.529548109783338,"No"
"manihot_esculenta Leaf Companion cell",11,5,1,0,"No"
"manihot_esculenta Leaf Leaf guard cell",11,8,0.719764558119151,0.142809542223589,"No"
"manihot_esculenta Leaf Leaf lamina epidermis",11,10,0.278629156332159,0.554973440059814,"No"
"manihot_esculenta Leaf Leaf procambium",11,4,1,0,"No"
"manihot_esculenta Leaf Leaf vascular system",11,10,1,0,"No"
"manihot_esculenta Leaf Palisade mesophyll cell",11,0,1,0,"No"
"manihot_esculenta Leaf Sieve element",11,8,1,0,"No"
"manihot_esculenta Leaf Spongy mesophyll cell",11,3,1,0,"No"
"manihot_esculenta Leaf Xylem",11,5,1,0,"No"
"manihot_esculenta Root Metaxylem",11,17,0.359594846091354,0.444186541438601,"No"
"manihot_esculenta Root Pericycle cell",11,10,1,0,"No"
"manihot_esculenta Root Phloem",11,10,0.653162065663049,0.184979046151553,"No"
"manihot_esculenta Root Root apical meristem",11,7,1,0,"No"
"manihot_esculenta Root Root cortex",11,7,1,0,"No"
"manihot_esculenta Root Root endodermis",11,9,0.827273514330061,0.0823508796547757,"No"
"manihot_esculenta Root Root epidermis",11,9,0.606720698331191,0.217011188807912,"No"
"manihot_esculenta Root Root exodermis",11,20,0.000994993860248641,3.00217959912198,"Yes"
"manihot_esculenta Root Root hair cell",11,24,0.000209511359410834,3.67879242522417,"Yes"
"manihot_esculenta Root Root vascular system",11,0,1,0,"No"
"manihot_esculenta Root Xylem",11,3,1,0,"No"
"manihot_esculenta Tuberous root Meristematic cell",11,8,1,0,"No"
"manihot_esculenta Tuberous root Metaxylem",11,7,1,0,"No"
"manihot_esculenta Tuberous root Pericycle",11,8,1,0,"No"
"manihot_esculenta Tuberous root Phloem",11,3,1,0,"No"
"manihot_esculenta Tuberous root Phloem parenchyma",11,14,0.951997057062502,0.02136439416121,"No"
"manihot_esculenta Tuberous root Root cortex",11,5,1,0,"No"
"manihot_esculenta Tuberous root Root epidermis",11,8,1,0,"No"
"manihot_esculenta Tuberous root Root exodermis",11,15,0.391277807265912,0.407514783980945,"No"
"manihot_esculenta Tuberous root Root hair",11,18,0.173134908132798,0.761615359155256,"No"
"manihot_esculenta Tuberous root Root procambium",11,13,0.894204972018982,0.0485629196677135,"No"
"manihot_esculenta Tuberous root Vascular bundle",11,10,0.0896766761384853,1.04732049721802,"No"
"manihot_esculenta Tuberous root Xylem",11,12,1,0,"No"
"medicago_truncatula Root Cortex",11,7,1,0,"No"
"medicago_truncatula Root Nodule apex",11,15,0.0619405679061049,1.20802481710392,"No"
"medicago_truncatula Root Nodule parenchyma",11,9,0.724315707844129,0.140072096386946,"No"
"medicago_truncatula Root Non-hair",11,8,0.472057476963778,0.326005119144553,"No"
"medicago_truncatula Root Pericycle",11,9,1,0,"No"
"medicago_truncatula Root Phloem",11,8,0.953994323457729,0.0204542094660507,"No"
"medicago_truncatula Root Root apical meristem",11,9,1,0,"No"
"medicago_truncatula Root Root cap",11,17,0.0190408809350324,1.72031296265464,"Yes"
"medicago_truncatula Root Root cortex",11,18,0.00509032312468344,2.29325464854479,"Yes"
"medicago_truncatula Root Root endodermis",11,8,0.719764558119151,0.142809542223589,"No"
"medicago_truncatula Root Root epidermis",11,10,0.0486659620909145,1.31277468651556,"Yes"
"medicago_truncatula Root Root hair",11,12,0.2438216572969,0.612927721085154,"No"
"medicago_truncatula Root Root hair cell",11,7,0.356600736483372,0.447817764216373,"No"
"medicago_truncatula Root Root nodule",11,2,1,0,"No"
"medicago_truncatula Root Root stele",11,6,1,0,"No"
"medicago_truncatula Root Root vascular system",11,15,0.0189836837895026,1.7216195087571,"Yes"
"medicago_truncatula Root Stem cell niche",11,13,0.21806276459956,0.661418486230185,"No"
"medicago_truncatula Root Xylem",11,13,0.313164413431157,0.504227595045019,"No"
"nicotiana_attenuata Corolla Chlorenchyma",11,1,1,0,"No"
"nicotiana_attenuata Corolla Epidermis",11,1,1,0,"No"
"nicotiana_attenuata Corolla Parenchyma",11,10,0.857112690732523,0.066962074522722,"No"
"nicotiana_attenuata Corolla Pollen",11,6,0.144843382625366,0.839101341364162,"No"
"nicotiana_attenuata Corolla Vascular tissue",11,5,1,0,"No"
"oryza_sativa Inflorescence Branch meristem",11,1,1,0,"No"
"oryza_sativa Inflorescence Cryptic bract",11,6,0.648285751288785,0.188233523676534,"No"
"oryza_sativa Inflorescence Floret meristem",11,8,0.548533351744749,0.260796961455984,"No"
"oryza_sativa Inflorescence Inflorescence axis",11,3,1,0,"No"
"oryza_sativa Inflorescence Inflorescence meristem",11,3,0.739076951482136,0.131310341220589,"No"
"oryza_sativa Inflorescence Lodicule",11,0,1,0,"No"
"oryza_sativa Inflorescence Rudimentary glume",11,0,1,0,"No"
"oryza_sativa Inflorescence Spikelet",11,2,1,0,"No"
"oryza_sativa Inflorescence Spikelet floret",11,3,1,0,"No"
"oryza_sativa Inflorescence Spikelet identity cell",11,15,0.120280808841196,0.91980366010189,"No"
"oryza_sativa Inflorescence Spikelet meristem",11,1,1,0,"No"
"oryza_sativa Inflorescence Spikelet supporting cell",11,4,0.643938876825734,0.191155354250619,"No"
"oryza_sativa Inflorescence Sterile lemma",11,1,1,0,"No"
"oryza_sativa Leaf Initial cell",11,4,0.710068055200686,0.148700025109507,"No"
"oryza_sativa Leaf Large parenchyma cell",11,12,0.0742111532292786,1.12953081949287,"No"
"oryza_sativa Leaf Leaf epidermis",11,17,0.554637960059358,0.255990410127533,"No"
"oryza_sativa Leaf Leaf lamina epidermis",11,12,0.0228608844008226,1.6409069724111,"Yes"
"oryza_sativa Leaf Leaf preprocambium",11,15,0.152647050990428,0.816311581479671,"No"
"oryza_sativa Leaf Mesophyll",11,6,1,0,"No"
"oryza_sativa Leaf Mesophyll cell",11,13,0.339201236726838,0.469542572975871,"No"
"oryza_sativa Leaf Mesophyll precursor",11,6,0.648285751288785,0.188233523676534,"No"
"oryza_sativa Leaf Mestome sheath",11,15,0.120280808841196,0.91980366010189,"No"
"oryza_sativa Leaf Phloem",11,6,0.494514303252114,0.305821142421442,"No"
"oryza_sativa Leaf Vascular tissue",11,9,0.314543368270124,0.502319466905782,"No"
"oryza_sativa Leaf Xylem",11,11,0.303989383593895,0.517141583256701,"No"
"oryza_sativa Pistil CT-Ovule",11,5,0.146142202017597,0.835224353150057,"No"
"oryza_sativa Pistil Inner ovary wall/Outer integument",11,7,0.0662302436151572,1.17894364748182,"No"
"oryza_sativa Pistil Integument",11,1,1,0,"No"
"oryza_sativa Pistil Nucellus",11,3,1,0,"No"
"oryza_sativa Pistil Outer ovary wall",11,5,0.920096194719887,0.0361667654238955,"No"
"oryza_sativa Pistil Ovary wall",11,4,0.825677995049232,0.0831892895303296,"No"
"oryza_sativa Pistil Ovule",11,2,0.662888955671708,0.178559216660235,"No"
"oryza_sativa Pistil S-Ovule",11,0,1,0,"No"
"oryza_sativa Pistil Stamen residue",11,2,0.541222810848346,0.266623907534883,"No"
"oryza_sativa Pistil Stigma",11,4,0.311721066095331,0.506233847130251,"No"
"oryza_sativa Pistil Style",11,4,0.771690222553697,0.112557002300101,"No"
"oryza_sativa Pistil Vascular tissue",11,2,1,0,"No"
"oryza_sativa Root Epidermal meristematic cell",11,14,0.406482337003417,0.390958321185808,"No"
"oryza_sativa Root Exodermis",11,17,0.196374506573194,0.706914893194787,"No"
"oryza_sativa Root Meristematic cell",11,1,1,0,"No"
"oryza_sativa Root Metaxylem",11,6,1,0,"No"
"oryza_sativa Root Non-hair root epidermal cell",11,24,1.73508970973426e-08,7.76067806586714,"Yes"
"oryza_sativa Root Pericycle",11,9,1,0,"No"
"oryza_sativa Root Pericycle cell",11,9,1,0,"No"
"oryza_sativa Root Phloem",11,4,1,0,"No"
"oryza_sativa Root Protoxylem",11,13,0.480251695508888,0.31853109320473,"No"
"oryza_sativa Root Root cap",11,16,0.183407178130672,0.736583671056749,"No"
"oryza_sativa Root Root cap junction",11,8,1,0,"No"
"oryza_sativa Root Root cortex",11,1,1,0,"No"
"oryza_sativa Root Root endodermis",11,0,1,0,"No"
"oryza_sativa Root Root epidermis",11,21,5.65338664676132e-05,4.24769131122967,"Yes"
"oryza_sativa Root Root exodermis",11,12,0.381707693392726,0.418269086673022,"No"
"oryza_sativa Root Root hair",11,12,0.2438216572969,0.612927721085154,"No"
"oryza_sativa Root Root hair cell",11,7,0.711037396953164,0.14810755698713,"No"
"oryza_sativa Root Root meristem",11,0,1,0,"No"
"oryza_sativa Root Root procambium",11,10,0.038896403628512,1.41009055179758,"Yes"
"oryza_sativa Root Root stele",11,6,0.543777754825059,0.264578562755012,"No"
"oryza_sativa Root Sclerenchyma",11,13,0.155362887315207,0.808652716288993,"No"
"oryza_sativa Root Xylem",11,10,0.857112690732523,0.066962074522722,"No"
"oryza_sativa Root;Leaf Epidermis",11,22,0.0127484486867106,1.89454265976268,"Yes"
"oryza_sativa Root;Leaf Fiber cell",11,12,0.2438216572969,0.612927721085154,"No"
"oryza_sativa Root;Leaf Initial cell",11,3,1,0,"No"
"oryza_sativa Root;Leaf Mesophyll precursor/Root endodermis",11,3,1,0,"No"
"oryza_sativa Root;Leaf Mesophyll/Cortex",11,4,1,0,"No"
"oryza_sativa Root;Leaf Mestome sheath",11,14,0.513538535030634,0.289426962148017,"No"
"oryza_sativa Root;Leaf Parenchyma",11,13,0.0786041361709745,1.10455460066583,"No"
"oryza_sativa Root;Leaf Pericycle",11,7,1,0,"No"
"oryza_sativa Root;Leaf Phloem",11,10,0.986126282022215,0.00606746632282217,"No"
"oryza_sativa Root;Leaf Procambium",11,15,0.292101796541417,0.534465771935644,"No"
"oryza_sativa Root;Leaf Root exodermis/Sclerenchym",11,19,0.183407178130672,0.736583671056749,"No"
"oryza_sativa Root;Leaf Root stele",11,16,0.00572198313996701,2.24245342619347,"Yes"
"oryza_sativa Root;Leaf Vascular tissue",11,6,0.914166182814665,0.0389748483372457,"No"
"oryza_sativa Root;Leaf Xylem",11,17,0.480597086605867,0.318218866230476,"No"
"populus_alba_var_pyramidalis Stem Companion cell",11,6,1,0,"No"
"populus_alba_var_pyramidalis Stem Cork cambium",11,11,1,0,"No"
"populus_alba_var_pyramidalis Stem Cortex/Endodermis",11,8,0.794123669954941,0.10011185903803,"No"
"populus_alba_var_pyramidalis Stem Cortex/Endodermis initial",11,8,0.634787636924213,0.197371540121157,"No"
"populus_alba_var_pyramidalis Stem Endodermis",11,6,1,0,"No"
"populus_alba_var_pyramidalis Stem Epidermis",11,7,1,0,"No"
"populus_alba_var_pyramidalis Stem Phloem parenchyma",11,5,0.986126282022215,0.00606746632282217,"No"
"populus_alba_var_pyramidalis Stem Photosynthetic cell",11,11,0.42756403575582,0.368998832297845,"No"
"populus_alba_var_pyramidalis Stem Sieve element",11,11,1,0,"No"
"populus_alba_var_pyramidalis Stem Vascular cambium",11,6,1,0,"No"
"populus_alba_var_pyramidalis Stem Xylem",11,17,0.385732128687726,0.41371418604796,"No"
"populus_alba_var_pyramidalis Stem Xylem parenchyma",11,14,0.0930474434222995,1.03129555507315,"No"
"solanum_lycopersicum Leaf Leaf guard cell",11,11,0.303989383593895,0.517141583256701,"No"
"solanum_lycopersicum Leaf Leaf lamina epidermis",11,1,1,0,"No"
"solanum_lycopersicum Leaf Leaf trichome",11,7,1,0,"No"
"solanum_lycopersicum Leaf Leaf vascular system",11,8,1,0,"No"
"solanum_lycopersicum Leaf Mesophyll cell",11,1,1,0,"No"
"solanum_lycopersicum Root Atrichoblast",11,30,7.57179464796243e-07,6.12080117289975,"Yes"
"solanum_lycopersicum Root Cortex",11,12,1,0,"No"
"solanum_lycopersicum Root Endodermis",11,12,1,0,"No"
"solanum_lycopersicum Root Exodermis",11,15,0.984887826688966,0.00661323044061176,"No"
"solanum_lycopersicum Root MZ",11,2,1,0,"No"
"solanum_lycopersicum Root Pericycle",11,8,1,0,"No"
"solanum_lycopersicum Root Phloem_Procamb",11,18,0.391370887255817,0.407411483160373,"No"
"solanum_lycopersicum Root RC_Col_QC",11,8,1,0,"No"
"solanum_lycopersicum Root Trichoblast",11,17,0.0943752737831787,1.02514177547029,"No"
"solanum_lycopersicum Root Xylem",11,14,0.913216709330086,0.0394261507259734,"No"
"solanum_lycopersicum Shoot axis apex Leaf marginal meristem",11,13,0.339201236726838,0.469542572975871,"No"
"solanum_lycopersicum Shoot axis apex Meristematic cell",11,4,0.771690222553697,0.112557002300101,"No"
"solanum_lycopersicum Shoot axis apex Mesophyll",11,5,1,0,"No"
"solanum_lycopersicum Shoot axis apex Phloem",11,14,0.0695971579268478,1.15740849489933,"No"
"solanum_lycopersicum Shoot axis apex Rib Zone",11,5,1,0,"No"
"solanum_lycopersicum Shoot axis apex Shoot system epidermis",11,4,1,0,"No"
"solanum_lycopersicum Shoot axis apex Trichome",11,14,0.572476609187487,0.242242253456776,"No"
"solanum_lycopersicum Shoot axis apex Xylem",11,1,0.911180619856606,0.0403955259557802,"No"
"sorghum_bicolor Root Columella root cap cell",11,0,1,0,"No"
"sorghum_bicolor Root Lateral root cap",11,13,0.010471493194153,1.97999138520338,"Yes"
"sorghum_bicolor Root Pericycle cell",11,8,0.634787636924213,0.197371540121157,"No"
"sorghum_bicolor Root Phloem",11,4,1,0,"No"
"sorghum_bicolor Root Root cortex",11,9,0.421857483402583,0.3748342424638,"No"
"sorghum_bicolor Root Root endodermis",11,5,1,0,"No"
"sorghum_bicolor Root Root epidermis",11,12,0.000717385945980972,3.14424713566493,"Yes"
"sorghum_bicolor Root Root stele",11,10,0.690477789236134,0.160850286914933,"No"
"sorghum_bicolor Root Xylem",11,11,0.42756403575582,0.368998832297845,"No"
"triticum_aestivum Root Columella root cap",11,5,0.561055023575121,0.250994544691734,"No"
"triticum_aestivum Root Columella root cap cell",11,1,1,0,"No"
"triticum_aestivum Root Companion cell",11,5,0.561055023575121,0.250994544691734,"No"
"triticum_aestivum Root Meristematic cell",11,1,1,0,"No"
"triticum_aestivum Root Metaxylem",11,1,1,0,"No"
"triticum_aestivum Root Pericycle",11,5,0.678274965791103,0.168594211859377,"No"
"triticum_aestivum Root Pericycle cell",11,5,0.952892152038972,0.0209562498598891,"No"
"triticum_aestivum Root Phloem pole pericycle",11,4,0.881162657774629,0.0549439158177427,"No"
"triticum_aestivum Root Phloem pole pericycle cell",11,3,1,0,"No"
"triticum_aestivum Root Protophloem",11,3,0.809606532785168,0.0917259961303838,"No"
"triticum_aestivum Root Protoxylem",11,4,0.572492721715514,0.242230030278699,"No"
"triticum_aestivum Root Provascular",11,2,0.928924714813471,0.0320194822022382,"No"
"triticum_aestivum Root Proximal meristem",11,2,0.770121619096804,0.113440684786198,"No"
"triticum_aestivum Root Root broder",11,2,1,0,"No"
"triticum_aestivum Root Root cap",11,8,0.0283439183140644,1.54754011229082,"Yes"
"triticum_aestivum Root Root endodermis",11,2,1,0,"No"
"triticum_aestivum Root Root epidermis",11,1,1,0,"No"
"triticum_aestivum Root Root epidermis/Root cortex",11,3,1,0,"No"
"triticum_aestivum Root Root hair",11,5,0.503693597757371,0.297833569246153,"No"
"triticum_aestivum Root Root hair cell",11,2,1,0,"No"
"triticum_aestivum Root Root system ground meristem",11,1,1,0,"No"
"triticum_aestivum Root Root vascular system",11,1,1,0,"No"
"triticum_aestivum Root Sieve element",11,1,1,0,"No"
"triticum_aestivum Root Stem cell niche",11,8,0.0385756836147738,1.41368636889428,"Yes"
"triticum_aestivum Root Xylem pole pericycle",11,3,1,0,"No"
"triticum_aestivum Root Xylem pole pericycle cell",11,1,1,0,"No"
"zea_mays Ear inflorescence Adaxial meristem periphery",11,10,0.541506787571184,0.266396095296766,"No"
"zea_mays Ear inflorescence Bundle sheath",11,5,1,0,"No"
"zea_mays Ear inflorescence Cortex",11,20,0.00962109278920719,2.01677559684277,"Yes"
"zea_mays Ear inflorescence Determinate lateral organ",11,7,1,0,"No"
"zea_mays Ear inflorescence G2/M phase",11,4,1,0,"No"
"zea_mays Ear inflorescence Meristem base",11,4,1,0,"No"
"zea_mays Ear inflorescence Meristem boundary",11,6,0.831304410598456,0.0802399152836347,"No"
"zea_mays Ear inflorescence Meristem epidermis",11,16,0.00919703586451714,2.03635211994861,"Yes"
"zea_mays Ear inflorescence Phloem",11,7,1,0,"No"
"zea_mays Ear inflorescence Pith",11,7,0.275391433454152,0.560049573379948,"No"
"zea_mays Ear inflorescence S phase",11,3,0.662888955671708,0.178559216660235,"No"
"zea_mays Ear inflorescence Xylem",11,6,1,0,"No"
"zea_mays Inflorescence Adaxial meristem periphery",11,7,0.443371702015309,0.353232028972507,"No"
"zea_mays Inflorescence Bundle sheath cell",11,6,1,0,"No"
"zea_mays Inflorescence Determinate lateral organ",11,5,0.82994894806612,0.0809486211842524,"No"
"zea_mays Inflorescence Ear cortex",11,3,1,0,"No"
"zea_mays Inflorescence Meristem base",11,8,0.928924714813471,0.0320194822022382,"No"
"zea_mays Inflorescence Meristem boundary",11,9,0.685504987984387,0.163989380777877,"No"
"zea_mays Inflorescence Meristem epidermis layer",11,7,0.993563920399949,0.00280418755367433,"No"
"zea_mays Inflorescence Phloem",11,6,1,0,"No"
"zea_mays Inflorescence Xylem",11,0,1,0,"No"
"zea_mays Leaf Bundle sheath",11,3,1,0,"No"
"zea_mays Leaf Bundle sheath cell",11,2,1,0,"No"
"zea_mays Leaf Contamination",11,12,0.441477437841645,0.355091486585288,"No"
"zea_mays Leaf G2/M phase",11,4,0.964289273541684,0.0157926641703991,"No"
"zea_mays Leaf Leaf epidermis",11,6,0.401474164506627,0.396342397018477,"No"
"zea_mays Leaf Leaf guard cell",11,8,0.0283439183140644,1.54754011229082,"Yes"
"zea_mays Leaf Leaf lamina epidermis",11,7,0.138011829377713,0.860083687415524,"No"
"zea_mays Leaf Leaf pavement cell",11,10,0.196374506573194,0.706914893194787,"No"
"zea_mays Leaf Leaf primordium",11,0,1,0,"No"
"zea_mays Leaf Leaf subsidiary cell",11,8,0.183407178130672,0.736583671056749,"No"
"zea_mays Leaf Leaf vascular system",11,11,0.588347860332723,0.230365821622816,"No"
"zea_mays Leaf Meristemoid",11,5,1,0,"No"
"zea_mays Leaf Mesophyll",11,8,1,0,"No"
"zea_mays Leaf Mesophyll cell",11,2,0.988543623959204,0.00500416071882311,"No"
"zea_mays Leaf Pavement cell-A",11,4,1,0,"No"
"zea_mays Leaf Pavement cell-N",11,6,0.648285751288785,0.188233523676534,"No"
"zea_mays Leaf S phase",11,3,0.739076951482136,0.131310341220589,"No"
"zea_mays Leaf Subsidiary cell",11,13,0.00144221931017406,2.84096869387709,"Yes"
"zea_mays Leaf Vascular tissue",11,4,0.964289273541684,0.0157926641703991,"No"
"zea_mays Root Companion cell",11,13,0.395413605029021,0.402948391958663,"No"
"zea_mays Root Early stele",11,6,1,0,"No"
"zea_mays Root Mature endodermis",11,7,0.875211750882765,0.0578868599899833,"No"
"zea_mays Root Mature stele",11,4,1,0,"No"
"zea_mays Root Meristematic cell",11,13,0.239749204832226,0.620242824564178,"No"
"zea_mays Root Pericycle",11,5,1,0,"No"
"zea_mays Root Pericycle cell",11,8,0.794123669954941,0.10011185903803,"No"
"zea_mays Root Phloem",11,12,0.174692120644426,0.757726683098454,"No"
"zea_mays Root Protophloem",11,9,1,0,"No"
"zea_mays Root Root cap",11,20,0.00962109278920719,2.01677559684277,"Yes"
"zea_mays Root Root cortex",11,5,0.920096194719887,0.0361667654238955,"No"
"zea_mays Root Root endodermis",11,1,1,0,"No"
"zea_mays Root Root epidermis",11,11,0.0458342973165789,1.3388094224108,"Yes"
"zea_mays Root Root exodermis",11,14,0.83486746856242,0.078382461331114,"No"
"zea_mays Root Root hair",11,9,0.606720698331191,0.217011188807912,"No"
"zea_mays Root Root pith",11,5,1,0,"No"
"zea_mays Root Root stele",11,6,1,0,"No"
"zea_mays Root Stem cell niche",11,10,1,0,"No"
"zea_mays Root Xylem",11,8,0.316555167514416,0.499550592568419,"No"
"zea_mays Shoot axis apex G2/M phase",11,2,1,0,"No"
"zea_mays Shoot axis apex Leaf primordium",11,6,0.973979648040665,0.0114501179016519,"No"
"zea_mays Shoot axis apex Leaf rim",11,8,0.183407178130672,0.736583671056749,"No"
"zea_mays Shoot axis apex S phase",11,5,1,0,"No"
"zea_mays Shoot axis apex Shoot apical meristem",11,9,1,0,"No"
"zea_mays Shoot axis apex Shoot system epidermis",11,7,0.238383832028418,0.622723203205929,"No"
"zea_mays Shoot axis apex Vascular tissue",11,7,1,0,"No"
"arabidopsis_thaliana Flower Companion cell",12,6,1,0,"No"
"arabidopsis_thaliana Flower Cortex",12,15,2.7344095569693e-06,5.56313643672845,"Yes"
"arabidopsis_thaliana Flower Early anther",12,3,0.809606532785168,0.0917259961303838,"No"
"arabidopsis_thaliana Flower Epidermis",12,6,0.938205446709663,0.0277020501043955,"No"
"arabidopsis_thaliana Flower Floral organ abscission zone",12,10,0.337991992551176,0.471093588574511,"No"
"arabidopsis_thaliana Flower Flower meristem",12,4,0.677332978576013,0.169197778572132,"No"
"arabidopsis_thaliana Flower Generative nuclei",12,3,0.752018748901831,0.123771331691465,"No"
"arabidopsis_thaliana Flower Guard cell",12,7,0.544403317905334,0.264079236621556,"No"
"arabidopsis_thaliana Flower Intermediate anther",12,5,0.280557752520277,0.551977726139782,"No"
"arabidopsis_thaliana Flower Late anther",12,3,1,0,"No"
"arabidopsis_thaliana Flower Mesophyll cell",12,4,0.177074967806171,0.751842828488225,"No"
"arabidopsis_thaliana Flower Microspore nuclei",12,4,1,0,"No"
"arabidopsis_thaliana Flower Phloem",12,7,0.585431774034599,0.2325237101335,"No"
"arabidopsis_thaliana Flower Procambium",12,4,0.732083668129683,0.135439281604804,"No"
"arabidopsis_thaliana Flower Proliferating cell",12,4,1,0,"No"
"arabidopsis_thaliana Flower Sperm nuclei",12,2,1,0,"No"
"arabidopsis_thaliana Flower Vegetative nuclei",12,5,0.512106127755708,0.29064002745682,"No"
"arabidopsis_thaliana Flower Xylem parenchyma cell",12,16,0.00346990007282372,2.45968303196594,"Yes"
"arabidopsis_thaliana Inflorescence Cortex",12,16,1.24054949378131e-06,5.90638590414686,"Yes"
"arabidopsis_thaliana Inflorescence Flower meristem",12,1,1,0,"No"
"arabidopsis_thaliana Inflorescence G2/M phase",12,6,1,0,"No"
"arabidopsis_thaliana Inflorescence Mesophyll",12,6,0.138229523641729,0.859399188616612,"No"
"arabidopsis_thaliana Inflorescence Phloem",12,11,0.262535867218886,0.580811355606035,"No"
"arabidopsis_thaliana Inflorescence S phase",12,0,1,0,"No"
"arabidopsis_thaliana Inflorescence Shoot system epidermis",12,2,1,0,"No"
"arabidopsis_thaliana Inflorescence Vascular cambium",12,6,0.350640841851901,0.455137499657324,"No"
"arabidopsis_thaliana Inflorescence Xylem",12,14,0.00110675155163566,2.9559498604796,"Yes"
"arabidopsis_thaliana Leaf Bundle sheath",12,11,0.580871454214769,0.235919965547566,"No"
"arabidopsis_thaliana Leaf Bundle sheath cell",12,10,0.167546045773711,0.775865817419413,"No"
"arabidopsis_thaliana Leaf Companion cell",12,2,1,0,"No"
"arabidopsis_thaliana Leaf G2/M phase",12,8,1,0,"No"
"arabidopsis_thaliana Leaf Guard mother cell",12,9,1,0,"No"
"arabidopsis_thaliana Leaf Hydathode",12,12,0.0416576506510078,1.38030522642077,"Yes"
"arabidopsis_thaliana Leaf Hydathodes",12,14,0.221965846901402,0.653713843762491,"No"
"arabidopsis_thaliana Leaf Initials",12,7,1,0,"No"
"arabidopsis_thaliana Leaf Leaf abaxial pavement cell",12,2,0.351851620453518,0.453640444487657,"No"
"arabidopsis_thaliana Leaf Leaf adaxial pavement cell",12,12,0.130432966169178,0.884612629340764,"No"
"arabidopsis_thaliana Leaf Leaf epidermis",12,11,0.218177572148141,0.661189895328425,"No"
"arabidopsis_thaliana Leaf Leaf guard cell",12,10,0.189807675056058,0.721686230438221,"No"
"arabidopsis_thaliana Leaf Leaf lamina epidermis",12,11,0.310614206160277,0.507778685388116,"No"
"arabidopsis_thaliana Leaf Leaf pavement cell",12,17,0.0100459604469869,1.99800853607983,"Yes"
"arabidopsis_thaliana Leaf Leaf preprocambium",12,4,1,0,"No"
"arabidopsis_thaliana Leaf Leaf vascular system",12,10,0.78727800111272,0.103871883867057,"No"
"arabidopsis_thaliana Leaf Meristematic cell",12,7,1,0,"No"
"arabidopsis_thaliana Leaf Mesophyll",12,4,1,0,"No"
"arabidopsis_thaliana Leaf Mesophyll cell",12,4,0.877922304880265,0.0565439169581533,"No"
"arabidopsis_thaliana Leaf Myrosinase cell",12,15,0.0930474434222995,1.03129555507315,"No"
"arabidopsis_thaliana Leaf Palisade mesophyll",12,3,0.472057476963778,0.326005119144553,"No"
"arabidopsis_thaliana Leaf Phloem",12,9,1,0,"No"
"arabidopsis_thaliana Leaf Phloem parenchyma",12,5,1,0,"No"
"arabidopsis_thaliana Leaf Phloem parenchyma cell",12,9,0.398455933585184,0.399619701517569,"No"
"arabidopsis_thaliana Leaf Proliferating cell",12,7,1,0,"No"
"arabidopsis_thaliana Leaf S phase",12,2,1,0,"No"
"arabidopsis_thaliana Leaf Sieve element",12,3,1,0,"No"
"arabidopsis_thaliana Leaf Spongy mesophyll",12,9,0.48944496107781,0.310296138271709,"No"
"arabidopsis_thaliana Leaf Spongy mesophyll cell",12,5,1,0,"No"
"arabidopsis_thaliana Leaf Stomatal initial cell",12,8,0.783057905822395,0.106206121404023,"No"
"arabidopsis_thaliana Leaf Stress response",12,11,0.36069215932106,0.442863298215622,"No"
"arabidopsis_thaliana Leaf Tracheary element",12,0,1,0,"No"
"arabidopsis_thaliana Leaf Vascular tissue",12,10,1,0,"No"
"arabidopsis_thaliana Leaf Xylem",12,19,0.0384068033213764,1.41559183856928,"Yes"
"arabidopsis_thaliana Leaf Young guard cell",12,17,0.00367209934638618,2.43508557774213,"Yes"
"arabidopsis_thaliana Root Columella",12,9,0.0854458870944275,1.06830883704135,"No"
"arabidopsis_thaliana Root Columella root cap",12,10,0.283517595881783,0.547419982424611,"No"
"arabidopsis_thaliana Root Columella root cap cell",12,3,1,0,"No"
"arabidopsis_thaliana Root Companion cell",12,3,1,0,"No"
"arabidopsis_thaliana Root Cortex",12,31,1.25402423764482e-08,7.90169406942741,"Yes"
