"reference_cell_types","query_clusters","number_OMGs","p_value","negative_log10_p_value","significant"
"arabidopsis_thaliana Root Lateral root cap",0,7,1,0,"No"
"arabidopsis_thaliana Root Lateral root cap like cell",0,12,0.309219683912775,0.509732868108803,"No"
"arabidopsis_thaliana Root Lateral root primordia",0,0,1,0,"No"
"arabidopsis_thaliana Root Meristematic cell",0,1,1,0,"No"
"arabidopsis_thaliana Root Metaphloem",0,1,1,0,"No"
"arabidopsis_thaliana Root Metaphloem sieve element",0,1,1,0,"No"
"arabidopsis_thaliana Root Metaxylem",0,4,1,0,"No"
"arabidopsis_thaliana Root Non-hair",0,17,0.0421518085659472,1.37518378679581,"Yes"
"arabidopsis_thaliana Root Non-hair root epidermal cell",0,10,0.287481518006822,0.541390070576644,"No"
"arabidopsis_thaliana Root Pericycle",0,25,9.22423578208211e-10,9.03506960450472,"Yes"
"arabidopsis_thaliana Root Pericycle cell",0,22,1.57013322777654e-06,5.80406349559499,"Yes"
"arabidopsis_thaliana Root Phloem",0,11,0.225789212573881,0.646296811000734,"No"
"arabidopsis_thaliana Root Phloem parenchyma",0,29,1.79299841040037e-06,5.74642009546551,"Yes"
"arabidopsis_thaliana Root Phloem pole pericycle",0,13,0.0353581430848391,1.45151055104538,"Yes"
"arabidopsis_thaliana Root Phloem pole pericycle cell",0,19,0.00324185196468424,2.48920682057591,"Yes"
"arabidopsis_thaliana Root Phloem/Pericycle",0,19,3.59577067477181e-05,4.44420801378447,"Yes"
"arabidopsis_thaliana Root Pholem",0,13,0.472057476963778,0.326005119144553,"No"
"arabidopsis_thaliana Root Photosynthetic cell",0,1,1,0,"No"
"arabidopsis_thaliana Root Primary phloem",0,21,5.5449553311691e-05,4.25610194807297,"Yes"
"arabidopsis_thaliana Root Primary xylem",0,5,1,0,"No"
"arabidopsis_thaliana Root Proliferating cell",0,3,1,0,"No"
"arabidopsis_thaliana Root Protophloem",0,4,1,0,"No"
"arabidopsis_thaliana Root Protophloem sieve element",0,2,1,0,"No"
"arabidopsis_thaliana Root Protoxylem",0,20,0.000110671466371267,3.95596433571423,"Yes"
"arabidopsis_thaliana Root Quiescent center",0,5,0.984887826688966,0.00661323044061176,"No"
"arabidopsis_thaliana Root Root cap",0,5,1,0,"No"
"arabidopsis_thaliana Root Root cortex",0,8,1,0,"No"
"arabidopsis_thaliana Root Root endodermis",0,10,0.934782269626732,0.0292895336314351,"No"
"arabidopsis_thaliana Root Root epidermis",0,8,1,0,"No"
"arabidopsis_thaliana Root Root hair",0,4,1,0,"No"
"arabidopsis_thaliana Root Root hair cell",0,2,0.809606532785168,0.0917259961303838,"No"
"arabidopsis_thaliana Root Root initial cell",0,7,1,0,"No"
"arabidopsis_thaliana Root Root meristem",0,1,1,0,"No"
"arabidopsis_thaliana Root Root procambium",0,13,0.0353581430848391,1.45151055104538,"Yes"
"arabidopsis_thaliana Root Root stele",0,15,0.151302493017313,0.820153916030068,"No"
"arabidopsis_thaliana Root S phase",0,3,1,0,"No"
"arabidopsis_thaliana Root Sieve element",0,4,1,0,"No"
"arabidopsis_thaliana Root Stem cell niche",0,14,0.089226898103662,1.04950420462556,"No"
"arabidopsis_thaliana Root Xylem",0,7,0.774825086047623,0.110796326833041,"No"
"arabidopsis_thaliana Root Xylem pole pericycle",0,22,0.0013835442100215,2.85900695877701,"Yes"
"arabidopsis_thaliana Root Xylem pole pericycle cell",0,12,1,0,"No"
"arabidopsis_thaliana Seed Columella initial cell",0,4,0.697809757230773,0.156262962256986,"No"
"arabidopsis_thaliana Seed Dividing protoderm",0,2,1,0,"No"
"arabidopsis_thaliana Seed Hypocotyl",0,1,1,0,"No"
"arabidopsis_thaliana Seed Plant embryo cotyledon",0,0,1,0,"No"
