"reference_cluster","species","tissue","ref_numOMG","query_cluster","query_numOMG","num_common_OMG","FDR","test"
"Meristematic cell","fragaria_vesca","Leaf",195,1,108,32,3.04028690985377e-15,"Reject"
"Proliferating cell","arabidopsis_thaliana","Leaf",136,8,149,37,4.19205159658636e-15,"Reject"
"Bundle sheath cell","zea_mays","Inflorescence",149,1,108,32,4.67824126118096e-15,"Reject"
"Ear cortex","zea_mays","Inflorescence",115,8,149,32,4.67824126118096e-15,"Reject"
"Phloem parenchyma","manihot_esculenta","Tuberous root",166,1,108,48,5.94024498352095e-15,"Reject"
"Developing male gametophytes","gossypium_hirsutum","Flower",104,8,149,16,8.28979874461567e-15,"Reject"
"Shoot system epidermis","solanum_lycopersicum","Shoot axis apex",181,1,108,62,1.18054118227595e-14,"Reject"
"Shoot apical meristem","arabidopsis_thaliana","Stem",158,1,108,44,1.35570719593519e-14,"Reject"
"Root endodermis","oryza_sativa","Root",90,8,149,39,2.70519823541366e-14,"Reject"
"S phase","zea_mays","Shoot axis apex",160,8,149,36,6.65391623747686e-13,"Reject"
"Root cap","oryza_sativa","Root",184,3,165,35,1.08831309166571e-12,"Reject"
"G2/M phase","zea_mays","Leaf",52,8,149,16,1.8558667654244e-12,"Reject"
"Companion cell","arabidopsis_thaliana","Shoot axis apex",190,4,118,43,4.86001237774592e-12,"Reject"
"Sterile lemma","oryza_sativa","Inflorescence",112,8,149,49,6.30561000554789e-12,"Reject"
"Root cortex","manihot_esculenta","Root",174,4,118,35,8.01996791592156e-12,"Reject"
"Meristematic cell","manihot_esculenta","Tuberous root",181,8,149,56,1.33067320966318e-11,"Reject"
"Xylem","solanum_lycopersicum","Root",190,10,140,51,1.86435472108624e-11,"Reject"
"Pericycle","zea_mays","Root",119,8,149,44,2.05925886838155e-11,"Reject"
"Metaxylem","arabidopsis_thaliana","Root",63,10,140,42,4.82152085521473e-11,"Reject"
"Initials","arabidopsis_thaliana","Leaf",167,8,149,50,7.36281967803731e-11,"Reject"
"Xylem","medicago_truncatula","Root",135,10,140,41,1.12443170166855e-10,"Reject"
