"reference_cluster","species","tissue","ref_numOMG","query_cluster","query_numOMG","num_common_OMG","FDR","test"
"Leaf epidermis","arabidopsis_thaliana","Leaf",143,3,165,19,0.0130015210033271,"Reject"
"Sperm nuclei","arabidopsis_thaliana","Flower",129,8,149,10,0.0135301391204142,"Reject"
"Root stele","medicago_truncatula","Root",93,0,164,16,0.0144527641109976,"Reject"
"Root cap","medicago_truncatula","Root",176,7,146,27,0.0144527641109976,"Reject"
"Bundle sheath cell","manihot_esculenta","Leaf",130,7,146,23,0.0148629532823419,"Reject"
"Leaf vascular system","manihot_esculenta","Leaf",170,12,150,27,0.0148629532823419,"Reject"
"Leaf vascular system","catharanthus_roseus","Leaf",114,4,118,15,0.0153052795731931,"Reject"
"Vascular tissue","catharanthus_roseus","Leaf",193,14,85,20,0.0153052795731931,"Reject"
"Epidermal cell layer of the emerging lateral root","arabidopsis_thaliana","Root",138,6,162,18,0.0153627387822719,"Reject"
"Root stele","oryza_sativa","Root;Leaf",188,7,146,19,0.0160668887518358,"Reject"
"S phase","zea_mays","Shoot axis apex",160,1,108,8,0.0168284534591879,"Reject"
"Phloem","solanum_lycopersicum","Shoot axis apex",98,7,146,17,0.0174277221179095,"Reject"
"Floret meristem","oryza_sativa","Inflorescence",138,3,165,13,0.0181243642414122,"Reject"
"Root stele","sorghum_bicolor","Root",137,2,141,18,0.0186193504537656,"Reject"
"Columella","arabidopsis_thaliana","Root",190,11,171,11,0.0186261247638122,"Reject"
"Phloem parenchyma","populus_alba_var_pyramidalis","Stem",91,0,164,13,0.0187969562740512,"Reject"
"Phloem","manihot_esculenta","Tuberous root",170,0,164,13,0.0188532270975997,"Reject"
"Root initial cell","arabidopsis_thaliana","Root",156,8,149,23,0.0192779644716319,"Reject"
"Phloem","solanum_lycopersicum","Shoot axis apex",98,3,165,16,0.0193610896041969,"Reject"
"Mesophyll precursor","oryza_sativa","Leaf",115,8,149,6,0.019479791376073,"Reject"
"Root cortex","arabidopsis_thaliana","Root",57,6,162,27,0.0196080575475037,"Reject"
"Root epidermis","arabidopsis_thaliana","Root",141,12,150,25,0.0196080575475037,"Reject"
"Xylem","solanum_lycopersicum","Shoot axis apex",8,3,165,3,0.0198993878361732,"Reject"
"Root hair","medicago_truncatula","Root",183,6,162,22,0.0204390372796171,"Reject"
"Epidermal cell layer of the emerging lateral root","arabidopsis_thaliana","Root",138,11,171,16,0.020491709619337,"Reject"
"Nodule apex","medicago_truncatula","Root",118,5,149,17,0.0206429816251793,"Reject"
"Root stele","oryza_sativa","Root",85,7,146,12,0.0208153639806236,"Reject"
"Sperm nuclei","arabidopsis_thaliana","Flower",129,1,108,5,0.0208823257870362,"Reject"
"Leaf marginal meristem","solanum_lycopersicum","Shoot axis apex",136,7,146,16,0.0211607604104359,"Reject"
"Exodermis","solanum_lycopersicum","Root",183,2,141,34,0.0213996786709304,"Reject"
"Pericycle","solanum_lycopersicum","Root",193,1,108,25,0.0226574687469576,"Reject"
"Protophloem","zea_mays","Root",188,4,118,21,0.0238355636829374,"Reject"
"Cryptic bract","oryza_sativa","Inflorescence",119,3,165,10,0.024298036849657,"Reject"
"Xylem parenchyma","populus_alba_var_pyramidalis","Stem",176,0,164,17,0.0248242319116371,"Reject"
"Root endodermis","triticum_aestivum","Root",165,13,156,11,0.0249643880676296,"Reject"
"Root epidermis","sorghum_bicolor","Root",116,11,171,12,0.0251109960562112,"Reject"
"Radicle","arabidopsis_thaliana","Seed",125,11,171,20,0.0271253235838935,"Reject"
"Procambium","glycine_max","Flower",79,4,118,5,0.0271355404497538,"Reject"
"Seed coat epidermis","glycine_max","Seed",124,2,141,14,0.0276939090109522,"Reject"
"Shoot parenchyma","arabidopsis_thaliana","Stem",149,0,164,16,0.0278710791181461,"Reject"
"Sieve element","arabidopsis_thaliana","Root",82,4,118,8,0.0285213455956761,"Reject"
"Xylem","oryza_sativa","Leaf",96,6,162,23,0.0285215940163513,"Reject"
"Microspore nuclei","arabidopsis_thaliana","Flower",154,8,149,13,0.0288593501774515,"Reject"
"Meristem base","zea_mays","Ear inflorescence",173,3,165,11,0.0296896497646416,"Reject"
"Radicle","arabidopsis_thaliana","Seed",125,6,162,20,0.0298297874810981,"Reject"
"Hypocotyl","arabidopsis_thaliana","Seed",115,8,149,11,0.0298297874810981,"Reject"
"Leaf vascular system","catharanthus_roseus","Leaf",114,14,85,12,0.0303204350099353,"Reject"
"Cortex","arabidopsis_thaliana","Root",189,2,141,24,0.0309520988275693,"Reject"
"Stem cell niche","arabidopsis_thaliana","Root",130,11,171,16,0.0310744813683824,"Reject"
"Vascular bundle","manihot_esculenta","Tuberous root",126,3,165,10,0.0313090717795506,"Reject"
"Companion cell","glycine_max","Leaf",84,4,118,11,0.031831631174198,"Reject"
"Leaf vascular system","glycine_max","Leaf",123,0,164,11,0.0319403517062819,"Reject"
"Root hair","manihot_esculenta","Tuberous root",174,7,146,30,0.0324646594284697,"Reject"
"Vascular bundle","manihot_esculenta","Tuberous root",126,11,171,10,0.0324646594284697,"Reject"
"Mesophyll cell","catharanthus_roseus","Leaf",103,1,108,8,0.0327265231968839,"Reject"
"Columella root cap","arabidopsis_thaliana","Root",80,3,165,12,0.0327442787581335,"Reject"
"Root exodermis","zea_mays","Root",176,6,162,32,0.0335106777172214,"Reject"
"Root cap","medicago_truncatula","Root",176,3,165,21,0.0337342627802881,"Reject"
"Mesophyll","arabidopsis_thaliana","Shoot axis apex",184,2,141,9,0.0338500268113846,"Reject"
"Xylem","oryza_sativa","Root;Leaf",184,6,162,32,0.0338569173234201,"Reject"
"Palisade mesophyll","arabidopsis_thaliana","Leaf",111,2,141,8,0.0366035257434911,"Reject"
"Phloem parenchyma","arabidopsis_thaliana","Leaf",127,0,164,19,0.0372228979480985,"Reject"
"Phloem","sorghum_bicolor","Root",162,14,85,8,0.0374347291216002,"Reject"
"Stem cell niche","medicago_truncatula","Root",133,1,108,10,0.0387377166501672,"Reject"
"Leaf epidermis","catharanthus_roseus","Leaf",183,7,146,19,0.0389646906827538,"Reject"
"Leaf primordium","zea_mays","Shoot axis apex",138,2,141,16,0.0390369538615003,"Reject"
"Vascular tissue","arabidopsis_thaliana","Shoot axis apex",183,0,164,25,0.0393400562554979,"Reject"
"Procambium","oryza_sativa","Root;Leaf",192,5,149,14,0.0411561198488427,"Reject"
"Hydathode","arabidopsis_thaliana","Leaf",137,3,165,16,0.0420158805742146,"Reject"
"Metaxylem","oryza_sativa","Root",122,14,85,8,0.0422126678452098,"Reject"
"Root hair cell","arabidopsis_thaliana","Root",40,6,162,6,0.0424025188487124,"Reject"
"Leaf lamina epidermis","catharanthus_roseus","Leaf",85,11,171,10,0.0424681762896193,"Reject"
"Leaf primordium","zea_mays","Shoot axis apex",138,12,150,16,0.0425567785862739,"Reject"
"Non-hair","medicago_truncatula","Root",122,7,146,20,0.0428272326854395,"Reject"
"Root cap","arabidopsis_thaliana","Root",115,6,162,20,0.0433488564309197,"Reject"
"Root stele","oryza_sativa","Root;Leaf",188,11,171,16,0.0453532565448034,"Reject"
"Xylem","zea_mays","Root",123,14,85,8,0.0459503256316324,"Reject"
"Xylem parenchyma","populus_alba_var_pyramidalis","Stem",176,3,165,15,0.0484315216884664,"Reject"
"Primary phloem","arabidopsis_thaliana","Root",145,0,164,21,0.0486378436958209,"Reject"
"Hydathodes","fragaria_vesca","Leaf",180,7,146,24,0.0491631380403091,"Reject"
"Dividing protoderm","arabidopsis_thaliana","Seed",137,2,141,21,0.049232841831728,"Reject"
"Root exodermis","zea_mays","Root",176,5,149,20,0.049398659965423,"Reject"
"Early stele","zea_mays","Root",130,8,149,17,0.049398659965423,"Reject"
"Root cap","zea_mays","Root",165,11,171,20,0.049398659965423,"Reject"
