"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.16331399703906,0.252,0.139,0,"0","Potri.013G047900"
0,1.17617237639941,0.316,0.204,0,"0","Potri.006G129900"
0,0.801719237720248,0.498,0.387,0,"0","Potri.018G069700"
0,1.17561845601255,0.253,0.143,0,"0","Potri.006G236000"
0,0.547569265838964,0.63,0.52,0,"0","Potri.001G288600"
0,1.03496278337338,0.306,0.197,0,"0","Potri.009G119900"
0,0.669426589328268,0.781,0.675,0,"0","Potri.009G114600"
0,0.585439807981421,0.612,0.507,0,"0","Potri.016G089500"
0,0.615265256417411,0.819,0.734,0,"0","Potri.011G025400"
0,0.412442926895115,0.976,0.965,0,"0","Potri.009G114800"
0,0.533614070844253,0.993,0.984,0,"0","Potri.001G102400"
1.51114798741872e-305,0.454055395478719,0.719,0.623,4.95852989111703e-301,"0","Potri.019G124400"
1.14029375394882e-303,1.00979434008706,0.271,0.167,3.74164589483225e-299,"0","Potri.015G072600"
5.2801327772442e-294,0.934813196933128,0.28,0.174,1.73256996819714e-289,"0","Potri.017G084700"
1.28176637999286e-288,0.525283270167303,0.303,0.185,4.20586002267057e-284,"0","Potri.019G018500"
2.83660130336172e-285,0.969172663636578,0.255,0.155,9.30773985672082e-281,"0","Potri.013G044500"
1.04208300841855e-282,0.915607208620189,0.277,0.173,3.41938697552378e-278,"0","Potri.019G116800"
2.84445672312251e-278,0.749201810471464,0.37,0.259,9.33351584558188e-274,"0","Potri.007G037300"
5.04117312176078e-277,0.953415786710558,0.277,0.175,1.65416013644337e-272,"0","Potri.002G130700"
3.8791668770925e-264,0.352638247838795,0.826,0.781,1.27287102738036e-259,"0","Potri.006G141700"
5.54435504517761e-264,0.857206391340145,0.304,0.2,1.81926922097413e-259,"0","Potri.001G154300"
1.39963344068928e-262,0.751910520957473,0.426,0.322,4.59261720893374e-258,"0","Potri.001G325200"
1.26401436237686e-248,0.726885415989049,0.276,0.176,4.1476103272672e-244,"0","Potri.002G236200"
1.27834497995279e-247,0.267384384144127,0.905,0.881,4.19463338271908e-243,"0","Potri.001G418500"
1.4661688617938e-247,0.494659583016684,0.573,0.475,4.810939886204e-243,"0","Potri.016G023200"
1.11372173314232e-245,0.513458926904553,0.552,0.456,3.6544551229599e-241,"0","Potri.011G006050"
1.37719538117016e-235,0.656607292534749,0.4,0.295,4.51899120423364e-231,"0","Potri.001G084000"
2.06560164138133e-232,0.758124911057003,0.346,0.248,6.77785866586457e-228,"0","Potri.008G069400"
4.22752614799005e-232,0.740524353987635,0.356,0.258,1.38717815493998e-227,"0","Potri.010G027500"
5.26354004974796e-231,0.811171526026235,0.265,0.171,1.7271253965238e-226,"0","Potri.007G001200"
5.43934496159776e-231,0.862002561410623,0.265,0.173,1.78481226224907e-226,"0","Potri.002G106800"
1.00325283565734e-225,0.611698207816461,0.479,0.39,3.29197352964241e-221,"0","Potri.008G198000"
8.22140449395245e-221,0.679458285863265,0.376,0.275,2.69768945660062e-216,"0","Potri.006G101100"
3.65227012893303e-219,0.483650322268557,0.529,0.436,1.19841939740679e-214,"0","Potri.005G161100"
6.30270001896187e-216,0.523084999441779,0.659,0.601,2.06810495722196e-211,"0","Potri.006G239700"
5.25042470720172e-212,0.685688569827916,0.368,0.274,1.7228218591741e-207,"0","Potri.018G093400"
2.97542110702723e-210,0.72288987408114,0.345,0.25,9.76324927848844e-206,"0","Potri.009G145400"
4.70422718872842e-208,0.394367900880262,0.625,0.52,1.54359806743746e-203,"0","Potri.004G182100"
4.67453407621016e-207,0.407832437283488,0.644,0.542,1.53385486642684e-202,"0","Potri.010G150700"
2.80444327432111e-201,0.647245681670537,0.402,0.313,9.20221971602987e-197,"0","Potri.002G120100"
3.79333700106355e-200,0.569254909915261,0.466,0.378,1.24470767015898e-195,"0","Potri.009G022300"
2.1641093339847e-198,0.647725423175405,0.367,0.276,7.10109195760398e-194,"0","Potri.001G219500"
4.63930838309783e-197,0.805812017286485,0.26,0.174,1.52229625974589e-192,"0","Potri.005G069500"
2.81539783666985e-195,0.341110928463991,0.76,0.715,9.23816492146476e-191,"0","Potri.005G123700"
1.65308162000068e-191,0.514587070233973,0.507,0.424,5.42425671970822e-187,"0","Potri.010G211600"
1.13372799721313e-190,0.709084504472006,0.296,0.208,3.72010167725544e-186,"0","Potri.002G072100"
1.21817351638069e-186,0.638571253755464,0.3,0.21,3.99719275929994e-182,"0","Potri.010G089300"
3.83815868187761e-186,0.374479679561463,0.66,0.564,1.2594150082845e-181,"0","Potri.010G150800"
2.53522461414204e-179,0.609825351767727,0.425,0.346,8.31883252638427e-175,"0","Potri.005G231300"
2.29331467667913e-162,0.891462799993501,0.28,0.202,7.52505344858722e-158,"0","Potri.006G019500"
1.10539301655935e-156,0.553593963950499,0.347,0.262,3.62712610523621e-152,"0","Potri.001G166200"
3.88630627722268e-154,0.989462815245087,0.36,0.291,1.27521367874508e-149,"0","Potri.001G107600"
4.4291824550151e-150,0.448856474497031,0.451,0.37,1.4533476389641e-145,"0","Potri.002G038800"
1.6950197426559e-145,0.690274423563789,0.281,0.208,5.5618682815768e-141,"0","Potri.004G013200"
1.39647980153631e-140,0.650131321522255,0.285,0.211,4.58226917278109e-136,"0","Potri.T149500"
1.05588323634814e-136,0.414411200426314,0.518,0.448,3.46466966342916e-132,"0","Potri.006G052800"
7.18399508432541e-136,0.493658048486918,0.347,0.266,2.3572843070197e-131,"0","Potri.011G083900"
1.87844349085244e-124,0.503454464651213,0.32,0.245,6.16373662653411e-120,"0","Potri.012G110750"
2.16654364579235e-124,0.504906567540336,0.368,0.296,7.10907966493844e-120,"0","Potri.003G092800"
9.49770891164814e-120,0.584628997774684,0.356,0.292,3.1164832251791e-115,"0","Potri.009G163800"
4.60231971532768e-114,0.70064636980919,0.268,0.205,1.51015916819047e-109,"0","Potri.008G075200"
9.63444029458852e-114,0.455798691362237,0.374,0.302,3.16134889386333e-109,"0","Potri.001G062500"
7.4715049661832e-110,0.601009895043373,0.263,0.199,2.45162492455369e-105,"0","Potri.008G103500"
3.08393508329003e-108,0.554529117129458,0.332,0.269,1.01193161887996e-103,"0","Potri.002G094200"
8.29840911735817e-101,0.559673783023326,0.281,0.219,2.72295698367873e-96,"0","Potri.003G170300"
2.35909782727605e-94,0.315809843437648,0.482,0.411,7.7409077006409e-90,"0","Potri.006G139400"
1.51994003963928e-93,0.456325242299313,0.314,0.251,4.98737925206836e-89,"0","Potri.003G068900"
1.75664433232949e-89,0.293649615320227,0.52,0.455,5.76407704767276e-85,"0","Potri.004G067900"
4.84802090860613e-87,0.560344712773778,0.267,0.212,1.59078110074093e-82,"0","Potri.017G093600"
7.66985321826385e-82,0.479010252079997,0.29,0.234,2.51670893650892e-77,"0","Potri.018G086700"
1.40978529511406e-81,0.300521006659064,0.547,0.5,4.62592848885776e-77,"0","Potri.014G114700"
2.50731188561244e-80,0.55217143700805,0.253,0.2,8.2272424902601e-76,"0","Potri.018G139300"
1.08412386580924e-75,0.390929042949258,0.375,0.318,3.55733564087987e-71,"0","Potri.014G006900"
1.91478995565376e-74,0.415511408888395,0.337,0.282,6.28300028148667e-70,"0","Potri.001G230000"
7.45839693966671e-69,0.427904325478668,0.33,0.28,2.44732378781284e-64,"0","Potri.010G142600"
8.0895700453905e-68,0.305444043996035,0.582,0.553,2.65443061899398e-63,"0","Potri.006G128000"
1.71451819361111e-67,0.506234783984716,0.297,0.249,5.62584854869614e-63,"0","Potri.002G104400"
3.75972401141645e-65,0.373669471587535,0.398,0.353,1.23367823986608e-60,"0","Potri.006G217200"
1.62605456140532e-64,0.336744607433853,0.341,0.287,5.33557283233927e-60,"0","Potri.005G032400"
3.64690264534664e-64,0.269927274345449,0.344,0.285,1.19665816501759e-59,"0","Potri.019G016900"
6.47638508943519e-64,0.340011119315231,0.381,0.329,2.12509623939637e-59,"0","Potri.004G102500"
